kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
224,32,32,16,2048,16,1,1,[224; 32; 32; 16; 2048; 16; 1; 1],0.12263590295333415,0.057002121714117594,tvm
56,14,16,2,256,128,8,0,[56; 14; 16; 2; 256; 128; 8; 0],0.021332261865609325,0.3276964585708733,tvm
64,32,32,4,512,32,2,1,[64; 32; 32; 4; 512; 32; 2; 1],0.015824890506337397,0.44174123440962687,tvm
16,16,8,4,128,16,1,1,[16; 16; 8; 4; 128; 16; 1; 1],0.02117479512526188,0.33013337911009477,tvm
16,2,2,2,128,32,2,1,[16; 2; 2; 2; 128; 32; 2; 1],0.021616949248709716,0.3233808150372523,tvm
512,32,64,8,4096,16,1,0,[512; 32; 64; 8; 4096; 16; 1; 0],0.2235362040810287,0.0312723690348285,tvm
256,2,64,8,64,32,2,0,[256; 2; 64; 8; 64; 32; 2; 0],0.0341092744783964,0.20494445494858604,tvm
112,28,8,2,2048,64,4,1,[112; 28; 8; 2; 2048; 64; 4; 1],0.1870691510848701,0.03736856999738665,tvm
16,16,8,2,128,64,4,1,[16; 16; 8; 2; 128; 64; 4; 1],0.018382765250862576,0.38027503323193723,tvm
28,1,16,2,32,32,2,1,[28; 1; 16; 2; 32; 32; 2; 1],0.029171312518883497,0.2396363434844248,tvm
224,8,64,16,256,16,1,0,[224; 8; 64; 16; 256; 16; 1; 0],0.03849064323003404,0.18161574034730635,tvm
28,1,1,1,512,32,2,1,[28; 1; 1; 1; 512; 32; 2; 1],0.0355191302660387,0.19680962383672376,tvm
28,4,16,2,1024,32,2,1,[28; 4; 16; 2; 1024; 32; 2; 1],0.0455995719821658,0.15330202374269403,tvm
128,2,32,8,32,16,1,1,[128; 2; 32; 8; 32; 16; 1; 1],0.03521935548633337,0.19848479820646592,tvm
4,1,32,2,2048,128,8,0,[4; 1; 32; 2; 2048; 128; 8; 0],0.10596724995411932,0.06596855792420157,tvm
112,14,4,4,64,32,2,0,[112; 14; 4; 4; 64; 32; 2; 0],0.053110310487682,0.1316224025519111,tvm
112,1,64,2,128,64,4,1,[112; 1; 64; 2; 128; 64; 4; 1],0.08943849103525281,0.07815993523315716,tvm
8,1,16,4,128,16,1,0,[8; 1; 16; 4; 128; 16; 1; 0],0.03280231723329052,0.21311014758347982,tvm
4,1,16,2,1024,32,2,0,[4; 1; 16; 2; 1024; 32; 2; 0],0.07072680804412812,0.09883814723131751,tvm
