kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
1792,32,32,1,128,128,1,[1792; 32; 32; 1; 128; 128; 1],0.22169076302088797,0.031532692528141164,tvm
28,4,16,1,512,64,1,[28; 4; 16; 1; 512; 64; 1],0.016256045622867532,0.43002503984321105,tvm
256,4,2,1,16,16,1,[256; 4; 2; 1; 16; 16; 1],0.3789579370059073,0.01844665590565978,tvm
3584,2,4,1,1024,64,1,[3584; 2; 4; 1; 1024; 64; 1],0.5767927709966898,0.012119615602302312,tvm
2048,32,1,1,64,16,1,[2048; 32; 1; 1; 64; 16; 1],0.4561098759295419,0.0153263655000238,tvm
8,1,8,1,4096,64,0,[8; 1; 8; 1; 4096; 64; 0],0.1432351559633389,0.04880440573162003,tvm
2048,64,8,1,1024,16,0,[2048; 64; 8; 1; 1024; 16; 0],0.5935664479620755,0.011777125696150043,tvm
7168,8,2,1,128,64,0,[7168; 8; 2; 1; 128; 64; 0],0.41889451805036515,0.016687987943127425,tvm
56,1,2,1,1024,64,0,[56; 1; 2; 1; 1024; 64; 0],0.058696960972156376,0.119094865405088,tvm
1792,28,16,1,64,64,1,[1792; 28; 16; 1; 64; 64; 1],0.3468225139658898,0.020155861817419924,tvm
14,14,16,1,64,64,0,[14; 14; 16; 1; 64; 64; 0],0.021612652999465354,0.3234450979636602,tvm
896,64,4,1,64,16,1,[896; 64; 4; 1; 64; 16; 1],0.3113608700223267,0.022451461759357878,tvm
512,8,4,1,256,64,0,[512; 8; 4; 1; 256; 64; 0],0.1875866629416123,0.03726547803050642,tvm
7168,2,4,1,128,64,0,[7168; 2; 4; 1; 128; 64; 0],0.43419367994647473,0.016099973328788254,tvm
224,1,4,1,128,16,1,[224; 1; 4; 1; 128; 16; 1],0.23074648797046393,0.030295181210131646,tvm
3584,2,1,1,512,128,0,[3584; 2; 1; 1; 512; 128; 0],0.2814382549840957,0.024838509132533194,tvm
1792,8,8,1,64,16,1,[1792; 8; 8; 1; 64; 16; 1],0.4063814129913226,0.017201836607659844,tvm
56,56,4,1,512,64,1,[56; 56; 4; 1; 512; 64; 1],0.025119933241512626,0.27828524062772253,tvm
448,1,4,1,1024,128,1,[448; 1; 4; 1; 1024; 128; 1],0.18309390696231276,0.038179897860312534,tvm
224,2,32,1,4096,16,1,[224; 2; 32; 1; 4096; 16; 1],0.9646103109698743,0.007246974853128008,tvm
8,8,64,1,64,16,1,[8; 8; 64; 1; 64; 16; 1],0.02572854349273257,0.2717023864425612,tvm
2048,16,2,1,2048,64,0,[2048; 16; 2; 1; 2048; 64; 0],0.4118594650644809,0.016973038765959233,tvm
7168,56,16,1,256,128,1,[7168; 56; 16; 1; 256; 128; 1],0.3461668980307877,0.020194035612396823,tvm
512,4,16,1,2048,64,1,[512; 4; 16; 1; 2048; 64; 1],0.3973313650349155,0.017593644201867566,tvm
32,32,16,1,32,16,0,[32; 32; 16; 1; 32; 16; 0],0.037564055499387905,0.18609563247984698,tvm
112,28,32,1,16,16,0,[112; 28; 32; 1; 16; 16; 0],0.21627641702070832,0.03232209393406647,tvm
3584,8,32,1,128,64,1,[3584; 8; 32; 1; 128; 64; 1],0.46811652509495616,0.014933261895099007,tvm
1792,1,4,1,2048,64,0,[1792; 1; 4; 1; 2048; 64; 0],0.5253880629315972,0.01330541586282061,tvm
1,1,4,1,1024,128,0,[1; 1; 4; 1; 1024; 128; 0],0.10208108904771507,0.06847993817345681,tvm
32,16,2,1,1024,64,0,[32; 16; 2; 1; 1024; 64; 0],0.057456850016023964,0.12166533084770756,tvm
14336,14,1,1,512,128,0,[14336; 14; 1; 1; 512; 128; 0],0.30576126801315695,0.022862629763707887,tvm
224,14,1,1,512,16,1,[224; 14; 1; 1; 512; 16; 1],0.1228405530564487,0.0569071572272581,tvm
14336,56,32,1,512,64,1,[14336; 56; 32; 1; 512; 64; 1],0.49922074598725885,0.014002836866970026,tvm
8,4,16,1,2048,16,1,[8; 4; 16; 1; 2048; 16; 1],0.09682719799457118,0.07219569306403563,tvm
224,1,16,1,2048,64,0,[224; 1; 16; 1; 2048; 64; 0],0.3780705030076206,0.01848995520955985,tvm
1792,64,4,1,2048,128,0,[1792; 64; 4; 1; 2048; 128; 0],0.537374529056251,0.0130086304591763,tvm
7168,2,2,1,64,64,1,[7168; 2; 2; 1; 64; 64; 1],0.627353637944907,0.011142848696257278,tvm
7,1,32,1,1024,128,1,[7; 1; 32; 1; 1024; 128; 1],0.026236645004246384,0.26644057064214033,tvm
16,1,16,1,1024,128,1,[16; 1; 16; 1; 1024; 128; 1],0.05052024801261723,0.1383703948745623,tvm
14336,1,8,1,256,16,0,[14336; 1; 8; 1; 256; 16; 0],0.4533622650196776,0.01541925123910181,tvm
896,14,16,1,256,16,0,[896; 14; 16; 1; 256; 16; 0],0.3405677060363814,0.020526040909821026,tvm
128,4,2,1,32,16,1,[128; 4; 2; 1; 32; 16; 1],0.4237142789643258,0.01649816164740397,tvm
448,1,1,1,2048,16,1,[448; 1; 1; 1; 2048; 16; 1],0.4923873960506171,0.01419716817029989,tvm
28,14,32,1,4096,128,0,[28; 14; 32; 1; 4096; 128; 0],0.218458685092628,0.031999216070089605,tvm
8,4,1,1,256,64,1,[8; 4; 1; 1; 256; 64; 1],0.017524534749099985,0.39889827414822987,tvm
2048,8,1,1,128,64,0,[2048; 8; 1; 1; 128; 64; 0],0.24916342494543642,0.028055910164975047,tvm
112,16,64,1,64,64,1,[112; 16; 64; 1; 64; 64; 1],0.2575672439998016,0.027140511185001662,tvm
512,1,8,1,128,64,0,[512; 1; 8; 1; 128; 64; 0],0.20342571707442403,0.03436392786124069,tvm
1792,1,4,1,512,128,0,[1792; 1; 4; 1; 512; 128; 0],0.14032121596392244,0.04981788832605309,tvm
256,1,4,1,1024,64,1,[256; 1; 4; 1; 1024; 64; 1],0.18164775101467967,0.03848386026040992,tvm
896,2,8,1,128,128,1,[896; 2; 8; 1; 128; 128; 1],0.18053008196875453,0.03872211539723644,tvm
7168,7,2,1,2048,16,1,[7168; 7; 2; 1; 2048; 16; 1],1.374642251059413,0.005085327954439931,tvm
224,32,32,1,32,16,0,[224; 32; 32; 1; 32; 16; 0],0.3080708420602605,0.02269123108151625,tvm
1792,32,4,1,128,64,1,[1792; 32; 4; 1; 128; 64; 1],0.2703254889929667,0.025859591312340304,tvm
32,8,16,1,512,16,1,[32; 8; 16; 1; 512; 16; 1],0.028713295730995014,0.2434588746676215,tvm
2048,1,16,1,128,128,1,[2048; 1; 16; 1; 128; 128; 1],0.23036002507433295,0.030346005841989983,tvm
14336,56,2,1,64,64,0,[14336; 56; 2; 1; 64; 64; 0],0.6097907009534538,0.011463780368799461,tvm
896,32,1,1,128,128,1,[896; 32; 1; 1; 128; 128; 1],0.1718791490420699,0.040671056993397375,tvm
28,14,64,1,1024,128,0,[28; 14; 64; 1; 1024; 128; 0],0.05633604503236711,0.12408586123946695,tvm
896,14,16,1,128,64,0,[896; 14; 16; 1; 128; 64; 0],0.22098067705519497,0.03163401777848942,tvm
64,8,1,1,4096,128,0,[64; 8; 1; 1; 4096; 128; 0],0.3274985260795802,0.021345154588475967,tvm
14336,8,4,1,128,16,0,[14336; 8; 4; 1; 128; 16; 0],0.4862453630194068,0.014376500422046523,tvm
