kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
512,8,16,1,3584,16,0,[512; 8; 16; 1; 3584; 16; 0],0.2905817509163171,0.024056936282553478,tvm
256,8,8,1,16,16,1,[256; 8; 8; 1; 16; 16; 1],0.1492799010593444,0.04682818394880685,tvm
1024,2,16,1,512,16,0,[1024; 2; 16; 1; 512; 16; 0],0.24048568902071565,0.02906828549812167,tvm
128,32,16,1,14336,128,1,[128; 32; 16; 1; 14336; 128; 1],0.23914174898527563,0.029231644814545054,tvm
128,1,4,1,1792,64,0,[128; 1; 4; 1; 1792; 64; 0],0.03745095801423304,0.18665761938613057,tvm
4096,32,32,1,2048,16,1,[4096; 32; 32; 1; 2048; 16; 1],0.4198954210150987,0.01664820885583151,tvm
8,2,16,1,2048,16,0,[8; 2; 16; 1; 2048; 16; 0],0.028604401741176844,0.2443856973454416,tvm
256,8,32,1,512,16,0,[256; 8; 32; 1; 512; 16; 0],0.20984660100657493,0.03331246078390204,tvm
4096,16,4,1,32,16,1,[4096; 16; 4; 1; 32; 16; 1],0.3703219270100817,0.018876837035027516,tvm
128,16,64,1,1024,16,1,[128; 16; 64; 1; 1024; 16; 1],0.06963474449003115,0.10038820014148858,tvm
256,8,32,1,14336,64,1,[256; 8; 32; 1; 14336; 64; 1],0.760311404010281,0.00919426780894653,tvm
32,16,4,1,64,64,1,[32; 16; 4; 1; 64; 64; 1],0.03360657850862481,0.2080100675786623,tvm
128,16,2,1,1024,128,0,[128; 16; 2; 1; 1024; 128; 0],0.03993492273730226,0.17504745690009815,tvm
4096,64,1,1,2048,64,1,[4096; 64; 1; 1; 2048; 64; 1],0.35388783807866275,0.019753452688907623,tvm
64,2,16,1,16,16,0,[64; 2; 16; 1; 16; 16; 0],0.06505194748751819,0.10746037492586931,tvm
32,16,64,1,256,64,1,[32; 16; 64; 1; 256; 64; 1],0.029482269485015422,0.23710883825343373,tvm
128,64,2,1,3584,16,1,[128; 64; 2; 1; 3584; 16; 1],0.1810557619901374,0.03860968902523775,tvm
64,1,4,1,3584,64,1,[64; 1; 4; 1; 3584; 64; 1],0.06298890500329435,0.11097996808010967,tvm
16,4,8,1,256,16,0,[16; 4; 8; 1; 256; 16; 0],0.02556552123860456,0.2734349361166488,tvm
128,8,1,1,2048,16,1,[128; 8; 1; 1; 2048; 16; 1],0.07409535098122433,0.09434474058214601,tvm
8,1,1,1,64,64,0,[8; 1; 1; 1; 64; 64; 0],0.01818107375584077,0.3844936091533608,tvm
4096,2,2,1,256,128,1,[4096; 2; 2; 1; 256; 128; 1],0.18804799998179078,0.037174054854843326,tvm
256,1,64,1,64,16,1,[256; 1; 64; 1; 64; 16; 1],0.14427279401570559,0.04845339493394491,tvm
4,2,1,1,14336,128,1,[4; 2; 1; 1; 14336; 128; 1],0.3076601270586252,0.02272152304394847,tvm
64,32,32,1,896,64,0,[64; 32; 32; 1; 896; 64; 0],0.02878001073258929,0.24289451215356592,tvm
1024,4,8,1,1792,128,1,[1024; 4; 8; 1; 1792; 128; 1],0.1306774279801175,0.053494369874882056,tvm
64,64,32,1,128,64,0,[64; 64; 32; 1; 128; 64; 0],0.021942011881037615,0.31859005019990416,tvm
64,8,8,1,448,16,0,[64; 8; 8; 1; 448; 16; 0],0.04603693599347025,0.15184561082992534,tvm
512,64,1,1,3584,128,0,[512; 64; 1; 1; 3584; 128; 0],0.19068011292256415,0.03666091109095124,tvm
4,4,1,1,64,64,0,[4; 4; 1; 1; 64; 64; 0],0.03515348176006228,0.19885673670619314,tvm
2,2,1,1,896,16,1,[2; 2; 1; 1; 896; 16; 1],0.027174478746019304,0.2572452900385691,tvm
512,8,64,1,512,128,1,[512; 8; 64; 1; 512; 128; 1],0.10764598194509745,0.06493978261289889,tvm
256,64,1,1,896,64,1,[256; 64; 1; 1; 896; 64; 1],0.09554893901804462,0.07316153102805772,tvm
16,8,4,1,2048,64,1,[16; 8; 4; 1; 2048; 64; 1],0.02251405561401043,0.3104952206974427,tvm
64,32,16,1,14336,64,1,[64; 32; 16; 1; 14336; 64; 1],0.2455499079078436,0.028468781463726906,tvm
64,4,4,1,3584,16,1,[64; 4; 4; 1; 3584; 16; 1],0.12791406805627048,0.05465002226019021,tvm
64,32,4,1,14336,64,1,[64; 32; 4; 1; 14336; 64; 1],0.3301383260404691,0.021174477833299957,tvm
16,4,64,1,128,16,1,[16; 4; 64; 1; 128; 16; 1],0.023679355494095944,0.29521524217201073,tvm
4096,8,8,1,1792,128,1,[4096; 8; 8; 1; 1792; 128; 1],0.2437377170426771,0.028680446963580398,tvm
64,16,64,1,64,16,1,[64; 16; 64; 1; 64; 16; 1],0.03955723377293907,0.17671879451411088,tvm
1024,8,1,1,224,16,0,[1024; 8; 1; 1; 224; 16; 0],0.17516806593630463,0.039907426215509995,tvm
1,1,8,1,112,16,0,[1; 1; 8; 1; 112; 16; 0],0.1398803269257769,0.04997490941221463,tvm
2,2,16,1,896,128,1,[2; 2; 16; 1; 896; 128; 1],0.02858681377256289,0.24453605505962434,tvm
4096,2,16,1,896,16,1,[4096; 2; 16; 1; 896; 16; 1],0.35950269794557244,0.01944493520247519,tvm
2,1,4,1,64,16,1,[2; 1; 4; 1; 64; 16; 1],0.021578203741228208,0.32396147290565785,tvm
128,64,2,1,7168,64,0,[128; 64; 2; 1; 7168; 64; 0],0.2934115839889273,0.023824917106648635,tvm
64,2,32,1,128,16,0,[64; 2; 32; 1; 128; 16; 0],0.06573447602568194,0.10634460163545734,tvm
32,32,32,1,32,16,0,[32; 32; 32; 1; 32; 16; 0],0.03187811773386784,0.2192885641814365,tvm
1,1,32,1,3584,128,1,[1; 1; 32; 1; 3584; 128; 1],0.11811917996965349,0.05918180830973114,tvm
512,1,32,1,896,64,1,[512; 1; 32; 1; 896; 64; 1],0.09698267100611702,0.0720799560802543,tvm
256,32,64,1,14336,128,0,[256; 32; 64; 1; 14336; 128; 0],0.932797439978458,0.007494131487783785,tvm
64,8,8,1,16,16,0,[64; 8; 8; 1; 16; 16; 0],0.041776722500799224,0.16733018408835046,tvm
16,1,8,1,1792,64,1,[16; 1; 8; 1; 1792; 64; 1],0.016456486759125255,0.42478730539435305,tvm
4,4,2,1,3584,64,1,[4; 4; 2; 1; 3584; 64; 1],0.05103485594736412,0.1369751425158616,tvm
256,16,16,1,2048,64,1,[256; 16; 16; 1; 2048; 64; 1],0.10851815191563219,0.06441785584499689,tvm
16,1,16,1,1792,16,1,[16; 1; 16; 1; 1792; 16; 1],0.020333334759925492,0.34379538571528845,tvm
2,1,8,1,3584,64,1,[2; 1; 8; 1; 3584; 64; 1],0.06010007450822741,0.1163144426003948,tvm
4,4,2,1,128,64,0,[4; 4; 2; 1; 128; 64; 0],0.021391936505096965,0.3267823212265551,tvm
2048,2,2,1,224,16,0,[2048; 2; 2; 1; 224; 16; 0],0.18488034699112177,0.03781097764275811,tvm
512,2,2,1,448,64,1,[512; 2; 2; 1; 448; 64; 1],0.09578184300335124,0.07298363079547426,tvm
64,1,16,1,16,16,1,[64; 1; 16; 1; 16; 16; 1],0.06104800454340875,0.11450835648028433,tvm
64,16,64,1,256,64,1,[64; 16; 64; 1; 256; 64; 1],0.028883445513201877,0.24202468031286248,tvm
4,4,32,1,14336,64,1,[4; 4; 32; 1; 14336; 64; 1],0.2610843009315431,0.026774902365728964,tvm
16,4,1,1,512,128,0,[16; 4; 1; 1; 512; 128; 0],0.03144366174819879,0.22231846668008087,tvm
8,4,32,1,896,64,0,[8; 4; 32; 1; 896; 64; 0],0.015187073629931547,0.46029319650425476,tvm
16,16,4,1,256,16,0,[16; 16; 4; 1; 256; 16; 0],0.027729748748242855,0.2520941220972885,tvm
8,2,32,1,128,128,0,[8; 2; 32; 1; 128; 128; 0],0.01946039975155145,0.35921701280105306,tvm
32,2,8,1,896,128,1,[32; 2; 8; 1; 896; 128; 1],0.025190064014168456,0.277510476461464,tvm
32,8,8,1,256,64,1,[32; 8; 8; 1; 256; 64; 1],0.02936023473739624,0.2380943725140873,tvm
16,2,16,1,128,16,1,[16; 2; 16; 1; 128; 16; 1],0.023041329885018058,0.3033898955290787,tvm
16,2,4,1,128,16,0,[16; 2; 4; 1; 128; 16; 0],0.04727347902371548,0.1478737510129045,tvm
8,1,8,1,1792,128,0,[8; 1; 8; 1; 1792; 128; 0],0.024402438633842394,0.2864675441483098,tvm
16,4,1,1,256,16,0,[16; 4; 1; 1; 256; 16; 0],0.028275378252146766,0.2472294660155757,tvm
32,1,32,1,1024,128,1,[32; 1; 32; 1; 1024; 128; 1],0.02857173577649519,0.24466510265076277,tvm
32,4,1,1,448,64,1,[32; 4; 1; 1; 448; 64; 1],0.028383535012835637,0.246287386807366,tvm
8,2,8,1,128,128,0,[8; 2; 8; 1; 128; 128; 0],0.019464914250420406,0.3591336995751566,tvm
16,8,64,1,1024,64,0,[16; 8; 64; 1; 1024; 64; 0],0.01828808762365952,0.38224372118728056,tvm
16,2,16,1,896,16,1,[16; 2; 16; 1; 896; 16; 1],0.021751007370767184,0.3213877200033381,tvm
32,2,1,1,512,64,1,[32; 2; 1; 1; 512; 64; 1],0.031539929506834596,0.2216398950781373,tvm
32,1,64,1,1024,64,1,[32; 1; 64; 1; 1024; 64; 1],0.03179388225544244,0.219869552591994,tvm
16,8,16,1,128,128,0,[16; 8; 16; 1; 128; 128; 0],0.01949067448731512,0.358659043391044,tvm
16,4,16,1,256,16,1,[16; 4; 16; 1; 256; 16; 1],0.021266249124892056,0.3287136638724084,tvm
16,16,8,1,224,16,1,[16; 16; 8; 1; 224; 16; 1],0.022957952751312405,0.30449172634816274,tvm
8,2,4,1,256,16,1,[8; 2; 4; 1; 256; 16; 1],0.01702072750777006,0.410705515582425,tvm
16,16,2,1,128,16,1,[16; 16; 2; 1; 128; 16; 1],0.025982891238527372,0.269042678987978,tvm
32,4,4,1,256,128,1,[32; 4; 4; 1; 256; 128; 1],0.027229617000557482,0.2567243845744708,tvm
