kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
8,1,197,1,64,16,1,0,[8; 1; 197; 1; 64; 16; 1; 0],0.0034544484660727903,0.25027108666392656,tvm
6,2,197,1,3072,128,8,0,[6; 2; 197; 1; 3072; 128; 8; 0],0.01891802976024337,0.04569971515984386,tvm
16,4,1,1,3072,64,4,0,[16; 4; 1; 1; 3072; 64; 4; 0],0.02734786525252275,0.03161301854625818,tvm
24,8,197,1,256,32,2,0,[24; 8; 197; 1; 256; 32; 2; 0],0.0029689777657040395,0.2911940201827545,tvm
24,8,1,1,64,32,2,0,[24; 8; 1; 1; 64; 32; 2; 0],0.002994839154780493,0.288679467158876,tvm
24,3,1,1,1536,48,3,1,[24; 3; 1; 1; 1536; 48; 3; 1],0.013846971385646611,0.062435932548018304,tvm
3,3,197,1,768,96,6,1,[3; 3; 197; 1; 768; 96; 6; 1],0.013414089000434615,0.0644507853944133,tvm
6,1,1,1,1536,16,1,1,[6; 1; 1; 1; 1536; 16; 1; 1],0.013468266624840908,0.06419152482725547,tvm
64,64,1,1,1024,128,8,1,[64; 64; 1; 1; 1024; 128; 8; 1],0.007570004127046559,0.11420714664337646,tvm
4,1,197,1,3072,64,4,1,[4; 1; 197; 1; 3072; 64; 4; 1],0.02784026224981062,0.031053894667764932,tvm
2,1,1,1,1536,32,2,1,[2; 1; 1; 1; 1536; 32; 2; 1],0.01769487750425469,0.04885869208310104,tvm
24,2,197,1,3072,192,12,1,[24; 2; 197; 1; 3072; 192; 12; 1],0.02523466499405913,0.03426035462060256,tvm
24,12,197,1,384,64,4,0,[24; 12; 197; 1; 384; 64; 4; 0],0.0019144198286085157,0.45159821190159904,tvm
4,1,1,1,384,64,4,1,[4; 1; 1; 1; 384; 64; 4; 1],0.0016933112492552027,0.5105668386770832,tvm
8,1,1,1,384,128,8,1,[8; 1; 1; 1; 384; 128; 8; 1],0.0047367030929308385,0.18252116598121654,tvm
2,2,197,1,384,48,3,0,[2; 2; 197; 1; 384; 48; 3; 0],0.018232699992950074,0.04741747364695635,tvm
12,2,1,1,768,192,12,1,[12; 2; 1; 1; 768; 192; 12; 1],0.006340242747683078,0.13635890703782663,tvm
16,4,1,1,96,32,2,0,[16; 4; 1; 1; 96; 32; 2; 0],0.0023582404228363885,0.36660747693771195,tvm
24,12,197,1,64,16,1,0,[24; 12; 197; 1; 64; 16; 1; 0],0.008105750064714812,0.10665867618988684,tvm
24,8,197,1,384,48,3,1,[24; 8; 197; 1; 384; 48; 3; 1],0.004627842405170668,0.18681460943065284,tvm
12,2,1,1,128,64,4,0,[12; 2; 1; 1; 128; 64; 4; 0],0.0033608703743084334,0.25723948713924133,tvm
12,3,1,1,768,32,2,1,[12; 3; 1; 1; 768; 32; 2; 1],0.004741429846035317,0.18233920979585697,tvm
