kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
3,3,197,1,64,64,0,[3; 3; 197; 1; 64; 64; 0],0.005443012843898032,0.1588364011298974,tvm
256,2,1,1,3072,64,0,[256; 2; 1; 1; 3072; 64; 0],0.08526652853470296,0.010139366364337273,tvm
64,1,1,1,768,64,1,[64; 1; 1; 1; 768; 64; 1],0.006056449939933373,0.14274840541950923,tvm
48,48,197,1,96,96,0,[48; 48; 197; 1; 96; 96; 0],0.0020164521574770333,0.42874737604004787,tvm
128,16,197,1,512,128,1,[128; 16; 197; 1; 512; 128; 1],0.009874040180875454,0.08755773276101035,tvm
768,48,1,1,32,16,0,[768; 48; 1; 1; 32; 16; 0],0.028444283496355638,0.030394457696195434,tvm
128,16,197,1,768,16,1,[128; 16; 197; 1; 768; 16; 1],0.02851059875683859,0.030323760605736126,tvm
48,6,1,1,768,128,0,[48; 6; 1; 1; 768; 128; 0],0.006377351128321607,0.13556546503910372,tvm
32,32,197,1,768,64,1,[32; 32; 197; 1; 768; 64; 1],0.003385214127774816,0.25538962641540797,tvm
768,32,1,1,1024,128,1,[768; 32; 1; 1; 1024; 128; 1],0.028659877250902355,0.030165815570663376,tvm
96,24,1,1,128,128,0,[96; 24; 1; 1; 128; 128; 0],0.005406279655289836,0.15991562156475644,tvm
8,4,197,1,1536,16,1,[8; 4; 197; 1; 1536; 16; 1],0.01288439087511506,0.06710046131077585,tvm
16,4,1,1,384,16,1,[16; 4; 1; 1; 384; 16; 1],0.005471465843584156,0.15801041186108136,tvm
96,2,1,1,512,64,1,[96; 2; 1; 1; 512; 64; 1],0.012304027186473832,0.07026549586780777,tvm
768,3,1,1,512,128,1,[768; 3; 1; 1; 512; 128; 1],0.03769178249058314,0.022937322522344733,tvm
16,2,1,1,1024,64,1,[16; 2; 1; 1; 1024; 64; 1],0.008273995626950637,0.10448985114428914,tvm
384,12,1,1,16,16,0,[384; 12; 1; 1; 16; 16; 0],0.013818269377225079,0.06256561858994429,tvm
16,4,1,1,96,16,0,[16; 4; 1; 1; 96; 16; 0],0.0025141031401290093,0.34387951616981305,tvm
16,16,1,1,32,16,1,[16; 16; 1; 1; 32; 16; 1],0.008417780249146745,0.10270505356993669,tvm
2,2,1,1,256,16,1,[2; 2; 1; 1; 256; 16; 1],0.00827534274867503,0.10447284151064254,tvm
768,4,197,1,3072,96,0,[768; 4; 197; 1; 3072; 96; 0],0.08667926251655445,0.009974110834912278,tvm
768,6,1,1,16,16,1,[768; 6; 1; 1; 16; 16; 1],0.014707249632920139,0.05878383742759077,tvm
12,1,1,1,192,64,1,[12; 1; 1; 1; 192; 64; 1],0.002377900313149439,0.36357645719954906,tvm
96,24,1,1,96,96,0,[96; 24; 1; 1; 96; 96; 0],0.00601566421755706,0.14371622819394356,tvm
128,32,197,1,3072,96,1,[128; 32; 197; 1; 3072; 96; 1],0.023921927495393902,0.036140422697754505,tvm
2,1,1,1,192,64,1,[2; 1; 1; 1; 192; 64; 1],0.0031221597018884495,0.2769072225567597,tvm
384,8,197,1,768,128,0,[384; 8; 197; 1; 768; 128; 0],0.020414158381754532,0.04235043910511025,tvm
6,6,197,1,1536,64,1,[6; 6; 197; 1; 1536; 64; 1],0.009352229375508614,0.0924430461139704,tvm
16,2,197,1,768,64,1,[16; 2; 197; 1; 768; 64; 1],0.003036765765500604,0.28469386122905416,tvm
3,1,197,1,192,16,0,[3; 1; 197; 1; 192; 16; 0],0.01645436300896108,0.05254220846821821,tvm
192,3,1,1,96,96,0,[192; 3; 1; 1; 96; 96; 0],0.009172070378554054,0.09425882442529454,tvm
24,1,1,1,48,16,1,[24; 1; 1; 1; 48; 16; 1],0.006008748783642659,0.1438816303623963,tvm
48,12,197,1,64,16,1,[48; 12; 197; 1; 64; 16; 1],0.003933342686650576,0.21979996158554255,tvm
96,1,197,1,768,96,1,[96; 1; 197; 1; 768; 96; 1],0.005809761874843389,0.148809639715548,tvm
128,2,197,1,384,64,0,[128; 2; 197; 1; 384; 64; 0],0.008564633812056854,0.10094402053845011,tvm
192,4,1,1,256,64,1,[192; 4; 1; 1; 256; 64; 1],0.00911612699565012,0.09483726716851379,tvm
96,48,1,1,1024,16,0,[96; 48; 1; 1; 1024; 16; 0],0.05146838095970452,0.016797664028045518,tvm
128,32,1,1,256,64,1,[128; 32; 1; 1; 256; 64; 1],0.008436254691332579,0.1024801411361857,tvm
2,2,197,1,384,16,1,[2; 2; 197; 1; 384; 16; 1],0.009545323438942432,0.09057299911927955,tvm
192,32,197,1,1024,16,0,[192; 32; 197; 1; 1024; 16; 0],0.01942550412786659,0.04450584992480814,tvm
384,24,197,1,1536,16,1,[384; 24; 197; 1; 1536; 16; 1],0.054041206545662135,0.01599795094689588,tvm
24,3,197,1,1024,64,0,[24; 3; 197; 1; 1024; 64; 0],0.005058052938693436,0.17092517257280745,tvm
32,32,1,1,1024,128,0,[32; 32; 1; 1; 1024; 128; 0],0.008067927505180705,0.10715869358932809,tvm
384,4,1,1,768,128,1,[384; 4; 1; 1; 768; 128; 1],0.020293323002988473,0.04260261226321853,tvm
64,8,197,1,768,16,0,[64; 8; 197; 1; 768; 16; 0],0.018863209130358882,0.045832528572094716,tvm
768,6,197,1,3072,16,0,[768; 6; 197; 1; 3072; 16; 0],0.11471046099904925,0.007536789268380127,tvm
192,32,197,1,384,96,0,[192; 32; 197; 1; 384; 96; 0],0.003226146876841085,0.2679817765380549,tvm
768,1,197,1,64,16,0,[768; 1; 197; 1; 64; 16; 0],0.02864665724337101,0.030179736647235954,tvm
192,64,1,1,32,16,1,[192; 64; 1; 1; 32; 16; 1],0.007105963690264616,0.12166521095696406,tvm
24,2,1,1,128,16,0,[24; 2; 1; 1; 128; 16; 0],0.004390990656247595,0.19689146233970534,tvm
6,6,197,1,3072,96,0,[6; 6; 197; 1; 3072; 96; 0],0.019704303122125566,0.04387613030870334,tvm
192,6,197,1,512,64,0,[192; 6; 197; 1; 512; 64; 0],0.004050650626595598,0.21343449512830195,tvm
64,2,1,1,32,16,1,[64; 2; 1; 1; 32; 16; 1],0.006147501313535031,0.14063414179759245,tvm
24,2,197,1,96,16,1,[24; 2; 197; 1; 96; 16; 1],0.008901890127162915,0.0971196632488777,tvm
192,4,197,1,128,128,1,[192; 4; 197; 1; 128; 128; 1],0.005950249844318023,0.14529617983253945,tvm
24,24,197,1,512,128,0,[24; 24; 197; 1; 512; 128; 0],0.002635385280882474,0.3280539576889009,tvm
16,2,197,1,768,64,0,[16; 2; 197; 1; 768; 64; 0],0.003480607436358696,0.24839014086950162,tvm
64,16,1,1,256,128,0,[64; 16; 1; 1; 256; 128; 0],0.004077065281308023,0.21205168712707068,tvm
256,16,197,1,128,128,0,[256; 16; 197; 1; 128; 128; 0],0.012770149507559836,0.06770073998873427,tvm
384,24,197,1,1536,128,0,[384; 24; 197; 1; 1536; 128; 0],0.04089928901521489,0.02113847434137429,tvm
256,64,197,1,1536,128,1,[256; 64; 197; 1; 1536; 128; 1],0.015134879009565338,0.05712292585108683,tvm
24,4,1,1,768,128,0,[24; 4; 1; 1; 768; 128; 0],0.012755553747410886,0.06777820771630999,tvm
384,32,1,1,768,96,1,[384; 32; 1; 1; 768; 96; 1],0.04045409700484015,0.02137110046789901,tvm
24,12,1,1,768,64,0,[24; 12; 1; 1; 768; 64; 0],0.020357117493404076,0.0424691055454533,tvm
48,24,1,1,512,64,0,[48; 24; 1; 1; 512; 64; 0],0.004470158655749401,0.1934044489263511,tvm
48,12,1,1,192,96,1,[48; 12; 1; 1; 192; 96; 1],0.002800395750455209,0.3087237120996336,tvm
8,1,1,1,128,128,0,[8; 1; 1; 1; 128; 128; 0],0.005648300062603084,0.15306349907871825,tvm
