i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
1,1,1,96,96,48,6,6,3,1,[1; 1; 1; 96; 96; 48; 6; 6; 3; 1],0.009773402998689562,0.08845931878021318,tvm
197,1,1,192,64,64,192,16,4,0,[197; 1; 1; 192; 64; 64; 192; 16; 4; 0],0.040227689751191065,0.021491380110958865,tvm
197,1,1,256,256,32,32,8,2,0,[197; 1; 1; 256; 256; 32; 32; 8; 2; 0],0.024490178999258205,0.035301847791915204,tvm
1,1,1,128,128,32,3,1,2,1,[1; 1; 1; 128; 128; 32; 3; 1; 2; 1],0.016965490620350465,0.050959243724524365,tvm
197,197,1,192,64,32,12,12,2,0,[197; 197; 1; 192; 64; 32; 12; 12; 2; 0],0.0055054157819540706,0.15703601792664457,tvm
197,1,1,384,384,48,8,1,3,0,[197; 1; 1; 384; 384; 48; 8; 1; 3; 0],0.03926587649038993,0.022017809067375948,tvm
197,197,1,384,48,48,3072,64,3,0,[197; 197; 1; 384; 48; 48; 3072; 64; 3; 0],0.043645185010973364,0.019808566997967927,tvm
197,197,1,192,96,16,64,1,1,0,[197; 197; 1; 192; 96; 16; 64; 1; 1; 0],0.011518371939018834,0.07505822663182866,tvm
197,1,1,384,64,16,12,1,1,0,[197; 1; 1; 384; 64; 16; 12; 1; 1; 0],0.042171819251962006,0.02050062308820953,tvm
1,1,1,768,96,16,768,1,1,1,[1; 1; 1; 768; 96; 16; 768; 1; 1; 1],0.009875948562694248,0.08754081351682483,tvm
197,1,1,64,64,32,128,16,2,0,[197; 1; 1; 64; 64; 32; 128; 16; 2; 0],0.014559071365511045,0.05938212333216518,tvm
197,197,1,128,64,16,512,32,1,1,[197; 197; 1; 128; 64; 16; 512; 32; 1; 1],0.02665243422961794,0.03243788405892878,tvm
197,1,1,768,384,64,24,4,4,1,[197; 1; 1; 768; 384; 64; 24; 4; 4; 1],0.09146134002367035,0.009452612122289317,tvm
1,1,1,384,96,32,3072,64,2,0,[1; 1; 1; 384; 96; 32; 3072; 64; 2; 0],0.009275349686504342,0.09320926980106117,tvm
197,197,1,256,32,16,1024,16,1,1,[197; 197; 1; 256; 32; 16; 1024; 16; 1; 1],0.018499524754588492,0.04673355574791914,tvm
1,1,1,256,32,16,12,3,1,0,[1; 1; 1; 256; 32; 16; 12; 3; 1; 0],0.01813942212902475,0.047661307249982,tvm
1,1,1,96,32,16,768,8,1,1,[1; 1; 1; 96; 32; 16; 768; 8; 1; 1],0.009722235750814434,0.08892487217831022,tvm
197,197,1,768,48,48,384,64,3,1,[197; 197; 1; 768; 48; 48; 384; 64; 3; 1],0.022527027380419895,0.038378280313186026,tvm
1,1,1,768,768,48,96,16,3,0,[1; 1; 1; 768; 768; 48; 96; 16; 3; 0],0.009649258689023554,0.089597408390764,tvm
197,1,1,256,32,32,96,8,2,0,[197; 1; 1; 256; 32; 32; 96; 8; 2; 0],0.05669282947201282,0.015249698762263533,tvm
1,1,1,256,64,16,24,8,1,1,[1; 1; 1; 256; 64; 16; 24; 8; 1; 1],0.009391552499437239,0.09205598025250637,tvm
197,1,1,192,64,16,1536,3,1,1,[197; 1; 1; 192; 64; 16; 1536; 3; 1; 1],0.05671798251569271,0.01524293589232248,tvm
1,1,1,768,384,16,6,6,1,1,[1; 1; 1; 768; 384; 16; 6; 6; 1; 1],0.026813066739123315,0.032243554228248594,tvm
197,1,1,256,128,64,1024,1,4,0,[197; 1; 1; 256; 128; 64; 1024; 1; 4; 0],0.028649695246713236,0.030176536398855917,tvm
197,197,1,768,192,48,64,16,3,1,[197; 197; 1; 768; 192; 48; 64; 16; 3; 1],0.021819688743562438,0.03962240624003599,tvm
1,1,1,768,64,64,768,12,4,0,[1; 1; 1; 768; 64; 64; 768; 12; 4; 0],0.009641376869694795,0.0896706542139286,tvm
197,1,1,64,16,16,12,2,1,0,[197; 1; 1; 64; 16; 16; 12; 2; 1; 0],0.019194026637705974,0.045042584745099645,tvm
197,197,1,384,384,128,192,8,8,1,[197; 197; 1; 384; 384; 128; 192; 8; 8; 1],0.010525745376071427,0.08213656520648716,tvm
1,1,1,768,192,32,192,8,2,1,[1; 1; 1; 768; 192; 32; 192; 8; 2; 1],0.018383145885309204,0.04702941361736518,tvm
197,197,1,384,384,96,1024,8,6,1,[197; 197; 1; 384; 384; 96; 1024; 8; 6; 1],0.030554013734217733,0.028295744675284843,tvm
1,1,1,768,384,192,192,32,12,1,[1; 1; 1; 768; 384; 192; 192; 32; 12; 1],0.015932731243083254,0.05426242106505693,tvm
197,1,1,768,192,48,384,16,3,0,[197; 1; 1; 768; 192; 48; 384; 16; 3; 0],0.08651494648074731,0.009993054455867513,tvm
197,197,1,384,96,16,32,8,1,1,[197; 197; 1; 384; 96; 16; 32; 8; 1; 1],0.012952881748788059,0.06674565461152791,tvm
197,1,1,768,384,32,1024,1,2,0,[197; 1; 1; 768; 384; 32; 1024; 1; 2; 0],0.08566814253572375,0.010091832807838146,tvm
197,197,1,128,64,64,192,48,4,1,[197; 197; 1; 128; 64; 64; 192; 48; 4; 1],0.0036833273734373506,0.23471944895893365,tvm
197,197,1,32,16,16,16,1,1,0,[197; 197; 1; 32; 16; 16; 16; 1; 1; 0],0.005539067624340532,0.1560819672302705,tvm
197,197,1,768,256,64,192,12,4,1,[197; 197; 1; 768; 256; 64; 192; 12; 4; 1],0.02007613562454935,0.04306349526606059,tvm
197,1,1,384,96,96,32,32,6,0,[197; 1; 1; 384; 96; 96; 32; 32; 6; 0],0.04091136174974963,0.02113223648523169,tvm
197,197,1,96,48,16,4,4,1,0,[197; 197; 1; 96; 48; 16; 4; 4; 1; 0],0.004849460186960641,0.1782772799647253,tvm
1,1,1,96,32,16,384,64,1,1,[1; 1; 1; 96; 32; 16; 384; 64; 1; 1],0.018005990626988932,0.048014496360600754,tvm
1,1,1,192,192,16,6,1,1,1,[1; 1; 1; 192; 192; 16; 6; 1; 1; 1],0.011440784503065515,0.07556724551510596,tvm
197,1,1,128,128,128,6,6,8,0,[197; 1; 1; 128; 128; 128; 6; 6; 8; 0],0.025103077496169135,0.03443994353124656,tvm
197,1,1,384,128,16,256,8,1,0,[197; 1; 1; 384; 128; 16; 256; 8; 1; 0],0.056943756993860006,0.015182499664042044,tvm
197,197,1,192,96,16,512,64,1,0,[197; 197; 1; 192; 96; 16; 512; 64; 1; 0],0.0135320849949494,0.06388879258083643,tvm
197,1,1,48,48,48,1536,8,3,0,[197; 1; 1; 48; 48; 48; 1536; 8; 3; 0],0.031105367990676314,0.02779419204067014,tvm
197,1,1,768,64,16,192,24,1,0,[197; 1; 1; 768; 64; 16; 192; 24; 1; 0],0.11056515108793974,0.007819358657963928,tvm
197,197,1,384,96,16,48,8,1,0,[197; 197; 1; 384; 96; 16; 48; 8; 1; 0],0.019442238757619634,0.044467542149164534,tvm
197,1,1,768,256,128,384,24,8,1,[197; 1; 1; 768; 256; 128; 384; 24; 8; 1],0.0877818875014782,0.00984882640412594,tvm
197,197,1,768,384,48,96,4,3,1,[197; 197; 1; 768; 384; 48; 96; 4; 3; 1],0.021953254006803036,0.03938134051383265,tvm
1,1,1,64,16,16,4,2,1,0,[1; 1; 1; 64; 16; 16; 4; 2; 1; 0],0.009751740624778904,0.08865582101638114,tvm
197,197,1,256,64,64,24,6,4,0,[197; 197; 1; 256; 64; 64; 24; 6; 4; 0],0.0056271169378305785,0.15363970235206817,tvm
1,1,1,768,192,192,3,1,12,1,[1; 1; 1; 768; 192; 192; 3; 1; 12; 1],0.01749086049676407,0.0494285899535085,tvm
1,1,1,768,768,192,48,12,12,0,[1; 1; 1; 768; 768; 192; 48; 12; 12; 0],0.01619726988428738,0.05337619102508449,tvm
1,1,1,128,128,128,24,4,8,0,[1; 1; 1; 128; 128; 128; 24; 4; 8; 0],0.026176489976933226,0.033027673771021754,tvm
197,197,1,96,32,32,768,16,2,0,[197; 197; 1; 96; 32; 32; 768; 16; 2; 0],0.010810755004058592,0.0799711556782113,tvm
1,1,1,384,32,16,384,4,1,1,[1; 1; 1; 384; 32; 16; 384; 4; 1; 1],0.018960547124152072,0.045597237556890095,tvm
197,1,1,256,64,32,6,3,2,0,[197; 1; 1; 256; 64; 32; 6; 3; 2; 0],0.028667599253822118,0.03015769000305476,tvm
1,1,1,96,96,32,24,1,2,1,[1; 1; 1; 96; 96; 32; 24; 1; 2; 1],0.016416964994277805,0.052661900158154265,tvm
1,1,1,768,768,96,768,8,6,0,[1; 1; 1; 768; 768; 96; 768; 8; 6; 0],0.016920968118938617,0.05109332783748551,tvm
197,1,1,192,192,32,256,32,2,1,[197; 1; 1; 192; 192; 32; 256; 32; 2; 1],0.02120652500889264,0.04076804526276869,tvm
197,1,1,256,128,64,192,1,4,0,[197; 1; 1; 256; 128; 64; 192; 1; 4; 0],0.057602001004852355,0.015009002401769729,tvm
1,1,1,384,96,48,768,4,3,1,[1; 1; 1; 384; 96; 48; 768; 4; 3; 1],0.017658479628153145,0.04895940022210124,tvm
197,1,1,256,256,32,3072,32,2,1,[197; 1; 1; 256; 256; 32; 3072; 32; 2; 1],0.02868610349833034,0.030138236497643956,tvm
197,1,1,384,96,16,24,8,1,0,[197; 1; 1; 384; 96; 16; 24; 8; 1; 0],0.04398912124452181,0.01965369043456939,tvm
197,197,1,96,48,48,3072,24,3,0,[197; 197; 1; 96; 48; 48; 3072; 24; 3; 0],0.011371288623195142,0.0760290763937753,tvm
197,197,1,128,128,128,24,3,8,1,[197; 197; 1; 128; 128; 128; 24; 3; 8; 1],0.0034344932209933177,0.25172522284918886,tvm
197,197,1,32,16,16,384,1,1,0,[197; 197; 1; 32; 16; 16; 384; 1; 1; 0],0.015297091129468754,0.056517187752322416,tvm
197,197,1,64,16,16,768,3,1,0,[197; 197; 1; 64; 16; 16; 768; 3; 1; 0],0.00928623774962034,0.09309998244056562,tvm
197,197,1,32,16,16,768,4,1,0,[197; 197; 1; 32; 16; 16; 768; 4; 1; 0],0.013838243496138602,0.06247531138397828,tvm
197,197,1,64,64,16,768,24,1,0,[197; 197; 1; 64; 64; 16; 768; 24; 1; 0],0.036274191486882046,0.023833710304507295,tvm
197,197,1,64,32,32,1536,8,2,1,[197; 197; 1; 64; 32; 32; 1536; 8; 2; 1],0.027240535244345665,0.031737576507716615,tvm
197,197,1,192,64,32,192,8,2,0,[197; 197; 1; 192; 64; 32; 192; 8; 2; 0],0.0070587025620625354,0.12247981322731247,tvm
197,197,1,32,32,16,512,8,1,0,[197; 197; 1; 32; 32; 16; 512; 8; 1; 0],0.006819238937168848,0.12678080052544796,tvm
197,197,1,96,32,32,1024,8,2,0,[197; 197; 1; 96; 32; 32; 1024; 8; 2; 0],0.007214779187052045,0.11983021919508328,tvm
197,197,1,64,32,32,1536,8,2,0,[197; 197; 1; 64; 32; 32; 1536; 8; 2; 0],0.014128255759715103,0.06119287377948805,tvm
197,197,1,192,16,16,64,2,1,1,[197; 197; 1; 192; 16; 16; 64; 2; 1; 1],0.01048472444381332,0.08245792019252467,tvm
197,197,1,96,32,32,384,48,2,1,[197; 197; 1; 96; 32; 32; 384; 48; 2; 1],0.00866036024672212,0.09982824580025944,tvm
197,197,1,96,96,48,192,1,3,1,[197; 197; 1; 96; 96; 48; 192; 1; 3; 1],0.005319620591762941,0.16252072051289976,tvm
197,197,1,64,64,32,768,12,2,0,[197; 197; 1; 64; 64; 32; 768; 12; 2; 0],0.00473558821977349,0.18256413592268037,tvm
197,197,1,192,96,96,24,2,6,1,[197; 197; 1; 192; 96; 96; 24; 2; 6; 1],0.0030637425952591,0.2821870782377058,tvm
197,197,1,128,128,64,2,1,4,1,[197; 197; 1; 128; 128; 64; 2; 1; 4; 1],0.004204514374578139,0.20562388290450692,tvm
197,197,1,96,96,16,96,1,1,1,[197; 197; 1; 96; 96; 16; 96; 1; 1; 1],0.005349941468011821,0.1615996318086561,tvm
197,197,1,192,64,64,48,16,4,1,[197; 197; 1; 192; 64; 64; 48; 16; 4; 1],0.016394417252740823,0.052734327673893744,tvm
197,197,1,96,96,96,96,6,6,1,[197; 197; 1; 96; 96; 96; 96; 6; 6; 1],0.005141780718986411,0.1681418595383037,tvm
197,197,1,192,96,48,6,1,3,1,[197; 197; 1; 192; 96; 48; 6; 1; 3; 1],0.008009110497368965,0.10794564161807732,tvm
197,197,1,128,128,32,8,8,2,1,[197; 197; 1; 128; 128; 32; 8; 8; 2; 1],0.0038297334358503576,0.22574640922406813,tvm
197,197,1,128,16,16,192,24,1,1,[197; 197; 1; 128; 16; 16; 192; 24; 1; 1],0.024712575250305235,0.03498415534082766,tvm
197,197,1,96,96,96,128,64,6,0,[197; 197; 1; 96; 96; 96; 128; 64; 6; 0],0.00878501381521346,0.09841174864533372,tvm
197,197,1,96,96,48,96,48,3,0,[197; 197; 1; 96; 96; 48; 96; 48; 3; 0],0.002927747109424672,0.29529482537802343,tvm
197,197,1,192,96,32,3,3,2,0,[197; 197; 1; 192; 96; 32; 3; 3; 2; 0],0.01145759793871548,0.07545635446913723,tvm
197,197,1,64,32,16,256,32,1,1,[197; 197; 1; 64; 32; 16; 256; 32; 1; 1],0.008532504245522432,0.10132413023787912,tvm
197,197,1,128,64,64,128,2,4,1,[197; 197; 1; 128; 64; 64; 128; 2; 4; 1],0.007394906249828637,0.11691136333859617,tvm
197,197,1,96,96,96,48,1,6,0,[197; 197; 1; 96; 96; 96; 48; 1; 6; 0],0.00864668643771438,0.0999861134847746,tvm
197,197,1,128,32,32,96,1,2,1,[197; 197; 1; 128; 32; 32; 96; 1; 2; 1],0.013029151246882975,0.06635494170315978,tvm
197,197,1,192,64,16,32,4,1,0,[197; 197; 1; 192; 64; 16; 32; 4; 1; 0],0.007360613628407009,0.11745604579650756,tvm
197,197,1,128,16,16,96,16,1,0,[197; 197; 1; 128; 16; 16; 96; 16; 1; 0],0.014916486499714665,0.0579592634931228,tvm
197,197,1,96,16,16,192,32,1,0,[197; 197; 1; 96; 16; 16; 192; 32; 1; 0],0.006288525000854861,0.13748034257811567,tvm
197,197,1,128,64,32,128,8,2,1,[197; 197; 1; 128; 64; 32; 128; 8; 2; 1],0.008502838434651494,0.10167764306861214,tvm
197,197,1,48,16,16,192,48,1,1,[197; 197; 1; 48; 16; 16; 192; 48; 1; 1],0.01586037788365502,0.05450996046692782,tvm
197,197,1,96,48,48,192,4,3,0,[197; 197; 1; 96; 48; 48; 192; 4; 3; 0],0.005641267529426841,0.15325431153881305,tvm
197,197,1,96,48,16,96,2,1,1,[197; 197; 1; 96; 48; 16; 96; 2; 1; 1],0.008790581690846011,0.0983494155260352,tvm
197,197,1,64,32,32,128,2,2,1,[197; 197; 1; 64; 32; 32; 128; 2; 2; 1],0.006982628125115298,0.1238142080513984,tvm
197,197,1,64,64,16,96,4,1,1,[197; 197; 1; 64; 64; 16; 96; 4; 1; 1],0.014167947374517098,0.061021441467489834,tvm
197,197,1,64,64,64,192,6,4,0,[197; 197; 1; 64; 64; 64; 192; 6; 4; 0],0.008787811813817825,0.09838041480009484,tvm
197,197,1,32,32,16,96,24,1,0,[197; 197; 1; 32; 32; 16; 96; 24; 1; 0],0.005538767560210545,0.15609042301022422,tvm
197,197,1,48,16,16,96,8,1,1,[197; 197; 1; 48; 16; 16; 96; 8; 1; 1],0.00545722456445219,0.1584227588983883,tvm
197,197,1,128,32,16,48,12,1,1,[197; 197; 1; 128; 32; 16; 48; 12; 1; 1],0.013246624119346961,0.06526557737573914,tvm
197,197,1,48,48,16,64,32,1,1,[197; 197; 1; 48; 48; 16; 64; 32; 1; 1],0.017669929002295248,0.04892767658071916,tvm
197,197,1,16,16,16,64,8,1,0,[197; 197; 1; 16; 16; 16; 64; 8; 1; 0],0.01279587487806566,0.06756463154469859,tvm
197,197,1,32,32,16,64,64,1,0,[197; 197; 1; 32; 32; 16; 64; 64; 1; 0],0.010771498004032765,0.08026261260085563,tvm
197,197,1,128,64,16,32,2,1,1,[197; 197; 1; 128; 64; 16; 32; 2; 1; 1],0.014333634127979167,0.06031607641923675,tvm
197,197,1,96,96,16,3,1,1,0,[197; 197; 1; 96; 96; 16; 3; 1; 1; 0],0.01071974362275796,0.08065011644430929,tvm
197,197,1,128,64,16,24,12,1,1,[197; 197; 1; 128; 64; 16; 24; 12; 1; 1],0.003653892250440549,0.23661030817871898,tvm
197,197,1,64,64,16,32,1,1,0,[197; 197; 1; 64; 64; 16; 32; 1; 1; 0],0.005335674184607342,0.16203173985448185,tvm
197,197,1,128,64,64,24,8,4,1,[197; 197; 1; 128; 64; 64; 24; 8; 4; 1],0.002352465593503439,0.36750742447247936,tvm
197,197,1,64,16,16,32,16,1,0,[197; 197; 1; 64; 16; 16; 32; 16; 1; 0],0.018278247385751456,0.04729931449021298,tvm
197,197,1,48,16,16,24,24,1,1,[197; 197; 1; 48; 16; 16; 24; 24; 1; 1],0.006498497619759291,0.13303822237309595,tvm
197,197,1,128,16,16,3,3,1,0,[197; 197; 1; 128; 16; 16; 3; 3; 1; 0],0.013454788131639361,0.06425582944673487,tvm
197,197,1,96,32,32,32,16,2,0,[197; 197; 1; 96; 32; 32; 32; 16; 2; 0],0.009357451184769161,0.09239145942174626,tvm
197,197,1,128,64,64,12,2,4,0,[197; 197; 1; 128; 64; 64; 12; 2; 4; 0],0.007233157812152058,0.11952574434033329,tvm
197,197,1,64,16,16,8,2,1,1,[197; 197; 1; 64; 16; 16; 8; 2; 1; 1],0.004109551689907676,0.21037539777191466,tvm
197,197,1,96,16,16,16,1,1,1,[197; 197; 1; 96; 16; 16; 16; 1; 1; 1],0.00491688456168049,0.17583259492532938,tvm
197,197,1,32,32,32,12,4,2,1,[197; 197; 1; 32; 32; 32; 12; 4; 2; 1],0.0036998190298618283,0.23367320521643417,tvm
197,197,1,32,16,16,6,6,1,1,[197; 197; 1; 32; 16; 16; 6; 6; 1; 1],0.006584503687918186,0.13130049163992716,tvm
197,197,1,32,32,16,6,1,1,0,[197; 197; 1; 32; 32; 16; 6; 1; 1; 0],0.004185773184872232,0.20654453388758118,tvm
197,197,1,64,16,16,8,8,1,1,[197; 197; 1; 64; 16; 16; 8; 8; 1; 1],0.00801369593682466,0.1078838750863736,tvm
197,197,1,64,64,64,12,4,4,0,[197; 197; 1; 64; 64; 64; 12; 4; 4; 0],0.006743124620697927,0.12821186320283207,tvm
197,197,1,48,48,48,12,6,3,0,[197; 197; 1; 48; 48; 48; 12; 6; 3; 0],0.005207524311117595,0.16601911383934168,tvm
197,197,1,256,16,16,24,6,1,0,[197; 197; 1; 256; 16; 16; 24; 6; 1; 0],0.010682077561796177,0.08093449672380011,tvm
197,197,1,768,768,32,12,2,2,1,[197; 197; 1; 768; 768; 32; 12; 2; 2; 1],0.018033220127108507,0.04794199623443488,tvm
197,197,1,96,48,48,128,4,3,1,[197; 197; 1; 96; 48; 48; 128; 4; 3; 1],0.002743778266449226,0.3150941830833144,tvm
197,197,1,256,128,16,2,2,1,1,[197; 197; 1; 256; 128; 16; 2; 2; 1; 1],0.013080132877803408,0.06609631412045396,tvm
