i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
1,1,1,384,384,16,64,4,1,1,[1; 1; 1; 384; 384; 16; 64; 4; 1; 1],0.0024710934831091436,0.08746619435263044,tvm
197,1,1,384,192,32,12,4,2,1,[197; 1; 1; 384; 192; 32; 12; 4; 2; 1],0.007764314002997708,0.027837249082622743,tvm
1,1,1,384,96,96,16,8,6,0,[1; 1; 1; 384; 96; 96; 16; 8; 6; 0],0.004208908594591776,0.051352301433884216,tvm
1,1,1,768,128,64,24,6,4,1,[1; 1; 1; 768; 128; 64; 24; 6; 4; 1],0.008584746246924624,0.02517688195321687,tvm
197,197,1,768,128,128,384,12,8,1,[197; 197; 1; 768; 128; 128; 384; 12; 8; 1],0.005641165469569387,0.03831427105321934,tvm
197,1,1,768,64,32,24,1,2,0,[197; 1; 1; 768; 64; 32; 24; 1; 2; 0],0.021230952508631162,0.010180284787942282,tvm
197,1,1,384,16,16,3,3,1,1,[197; 1; 1; 384; 16; 16; 3; 3; 1; 1],0.011290493937849533,0.019143284965822304,tvm
197,197,1,768,32,16,128,8,1,0,[197; 197; 1; 768; 32; 16; 128; 8; 1; 0],0.011902594749699347,0.018158825651238976,tvm
197,1,1,192,64,64,256,32,4,0,[197; 1; 1; 192; 64; 64; 256; 32; 4; 0],0.001570304515553289,0.13764027340963736,tvm
1,1,1,128,128,128,96,16,8,0,[1; 1; 1; 128; 128; 128; 96; 16; 8; 0],0.0034011452189588454,0.06354834296763914,tvm
197,1,1,384,192,32,384,6,2,0,[197; 1; 1; 384; 192; 32; 384; 6; 2; 0],0.0068946586252423,0.031348490854331036,tvm
197,1,1,384,96,96,384,8,6,1,[197; 1; 1; 384; 96; 96; 384; 8; 6; 1],0.006612916316953488,0.03268408860747769,tvm
197,1,1,48,16,16,256,2,1,1,[197; 1; 1; 48; 16; 16; 256; 2; 1; 1],0.005189493156649405,0.04164898889599687,tvm
197,197,1,384,384,16,48,24,1,0,[197; 197; 1; 384; 384; 16; 48; 24; 1; 0],0.008896932253264822,0.02429344595468051,tvm
1,1,1,96,48,48,16,4,3,0,[1; 1; 1; 96; 48; 48; 16; 4; 3; 0],0.006425687810406089,0.033636421381555336,tvm
