kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
3,3,197,1,96,96,6,1,[3; 3; 197; 1; 96; 96; 6; 1],0.0005421301561909786,0.3986812767910355,tvm
24,8,1,1,16,16,1,1,[24; 8; 1; 1; 16; 16; 1; 1],0.0013195244146118057,0.16379927530232838,tvm
24,8,1,1,384,32,2,1,[24; 8; 1; 1; 384; 32; 2; 1],0.0026966820951201953,0.08014928539343058,tvm
12,1,1,1,32,16,1,0,[12; 1; 1; 1; 32; 16; 1; 0],0.0018947884691442596,0.11406927283801581,tvm
16,4,197,1,768,128,8,0,[16; 4; 197; 1; 768; 128; 8; 0],0.0036762361851288006,0.05879305136363818,tvm
24,12,1,1,128,64,4,0,[24; 12; 1; 1; 128; 64; 4; 0],0.0012368397738100612,0.17474950873494027,tvm
4,4,197,1,384,96,6,0,[4; 4; 197; 1; 384; 96; 6; 0],0.004289648812118685,0.05038574305815756,tvm
8,1,197,1,384,16,1,1,[8; 1; 197; 1; 384; 16; 1; 1],0.002828052327458863,0.07642614698411615,tvm
16,1,1,1,384,128,8,0,[16; 1; 1; 1; 384; 128; 8; 0],0.0031664834059483837,0.06825778478772992,tvm
12,4,197,1,64,16,1,1,[12; 4; 197; 1; 64; 16; 1; 1],0.0008715936637599953,0.24797924978566507,tvm
24,2,1,1,32,16,1,0,[24; 2; 1; 1; 32; 16; 1; 0],0.0016162294068635674,0.133729247803117,tvm
16,1,1,1,96,96,6,1,[16; 1; 1; 1; 96; 96; 6; 1],0.0011860857184728957,0.18222725346986124,tvm
12,12,1,1,192,64,4,1,[12; 12; 1; 1; 192; 64; 4; 1],0.001661051093833521,0.13012070709897453,tvm
12,2,1,1,96,16,1,1,[12; 2; 1; 1; 96; 16; 1; 1],0.0013198872111388482,0.16375425190357865,tvm
24,12,1,1,192,192,12,0,[24; 12; 1; 1; 192; 192; 12; 0],0.0019992778907180764,0.10810760418078416,tvm
24,12,1,1,32,32,2,1,[24; 12; 1; 1; 32; 32; 2; 1],0.0019748044851439772,0.10944736275570334,tvm
16,2,1,1,96,96,6,0,[16; 2; 1; 1; 96; 96; 6; 0],0.0008212882576117408,0.2631684318556523,tvm
12,2,1,1,32,32,2,0,[12; 2; 1; 1; 32; 32; 2; 0],0.0009054944766830886,0.23869515322597387,tvm
6,3,197,1,96,32,2,1,[6; 3; 197; 1; 96; 32; 2; 1],0.0017019382339640288,0.12699470435759128,tvm
6,2,1,1,96,16,1,1,[6; 2; 1; 1; 96; 16; 1; 1],0.0015463966719835298,0.13976824108131866,tvm
8,8,1,1,96,48,3,0,[8; 8; 1; 1; 96; 48; 3; 0],0.0022848022181278793,0.09459774729833781,tvm
24,24,1,1,96,32,2,1,[24; 24; 1; 1; 96; 32; 2; 1],0.0028334783764876192,0.07627979258661804,tvm
16,8,197,1,384,48,3,0,[16; 8; 197; 1; 384; 48; 3; 0],0.002150945827452233,0.10048469845154326,tvm
4,4,1,1,48,48,3,1,[4; 4; 1; 1; 48; 48; 3; 1],0.0018362430309935007,0.1177061746234112,tvm
24,1,1,1,48,16,1,0,[24; 1; 1; 1; 48; 16; 1; 0],0.0010567299532340257,0.2045339418984716,tvm
16,8,197,1,768,64,4,1,[16; 8; 197; 1; 768; 64; 4; 1],0.0029758982982457383,0.07262921013952442,tvm
24,12,197,1,384,128,8,1,[24; 12; 197; 1; 384; 128; 8; 1],0.0014510456403513672,0.14895268408291124,tvm
12,4,1,1,128,64,4,1,[12; 4; 1; 1; 128; 64; 4; 1],0.0011408125546950032,0.18945894482632794,tvm
24,24,197,1,256,128,8,1,[24; 24; 197; 1; 256; 128; 8; 1],0.0017002598269755254,0.12712006684390953,tvm
24,12,197,1,128,32,2,0,[24; 12; 197; 1; 128; 32; 2; 0],0.001423460773366969,0.15183919845286986,tvm
12,3,1,1,96,32,2,1,[12; 3; 1; 1; 96; 32; 2; 1],0.0014109606881902437,0.1531843832831156,tvm
8,8,197,1,64,64,4,1,[8; 8; 197; 1; 64; 64; 4; 1],0.0009985601009248057,0.21644880729459323,tvm
24,4,197,1,16,16,1,1,[24; 4; 197; 1; 16; 16; 1; 1],0.0023784402346791467,0.09087348073991017,tvm
2,2,1,1,64,32,2,1,[2; 2; 1; 1; 64; 32; 2; 1],0.0033930665340449195,0.06369964770466287,tvm
3,1,197,1,96,16,1,0,[3; 1; 197; 1; 96; 16; 1; 0],0.003648948626505444,0.0592327174154093,tvm
2,1,197,1,256,32,2,1,[2; 1; 197; 1; 256; 32; 2; 1],0.005992689966660691,0.036066798726379135,tvm
24,12,197,1,256,128,8,0,[24; 12; 197; 1; 256; 128; 8; 0],0.0019195276399841532,0.11259913030422795,tvm
1,1,1,1,768,128,8,0,[1; 1; 1; 1; 768; 128; 8; 0],0.012129148250096478,0.01781964721681291,tvm
12,3,197,1,96,96,6,0,[12; 3; 197; 1; 96; 96; 6; 0],0.0009751818670338253,0.2216377787197369,tvm
24,12,197,1,16,16,1,0,[24; 12; 197; 1; 16; 16; 1; 0],0.0013636007661261829,0.15850470916877019,tvm
4,1,197,1,192,96,6,0,[4; 1; 197; 1; 192; 96; 6; 0],0.0011666923282973585,0.1852563333236004,tvm
2,2,1,1,192,16,1,1,[2; 2; 1; 1; 192; 16; 1; 1],0.0015673077195970109,0.13790345071018756,tvm
8,8,1,1,192,16,1,0,[8; 8; 1; 1; 192; 16; 1; 0],0.0035700062799151056,0.06054251054770766,tvm
3,1,1,1,768,128,8,0,[3; 1; 1; 1; 768; 128; 8; 0],0.004090542159246979,0.052838263106162714,tvm
16,16,197,1,128,32,2,0,[16; 16; 197; 1; 128; 32; 2; 0],0.0016623753126623342,0.13001705524066884,tvm
32,8,1,1,768,192,12,0,[32; 8; 1; 1; 768; 192; 12; 0],0.0055049178408808075,0.03926255561019601,tvm
16,16,1,1,384,96,6,1,[16; 16; 1; 1; 384; 96; 6; 1],0.00153451205460442,0.14085072985162087,tvm
6,3,197,1,192,96,6,1,[6; 3; 197; 1; 192; 96; 6; 1],0.0007199997266980063,0.30019059013865224,tvm
16,4,197,1,192,16,1,0,[16; 4; 197; 1; 192; 16; 1; 0],0.0017719465613481589,0.12197723541543948,tvm
4,4,197,1,32,32,2,1,[4; 4; 197; 1; 32; 32; 2; 1],0.0004547547732727253,0.47528284596481013,tvm
24,8,197,1,96,48,3,1,[24; 8; 197; 1; 96; 48; 3; 1],0.0009061698665391305,0.23851724807691954,tvm
6,2,1,1,384,128,8,0,[6; 2; 1; 1; 384; 128; 8; 0],0.005097843873954844,0.04239775642431873,tvm
8,2,197,1,48,16,1,1,[8; 2; 197; 1; 48; 16; 1; 1],0.002092189282848267,0.10330668674628608,tvm
24,6,1,1,256,64,4,0,[24; 6; 1; 1; 256; 64; 4; 0],0.002055292748991633,0.10516124428657864,tvm
16,1,1,1,128,16,1,1,[16; 1; 1; 1; 128; 16; 1; 1],0.0010478526328370208,0.20626673645125063,tvm
3,3,197,1,192,32,2,0,[3; 3; 197; 1; 192; 32; 2; 0],0.004861477529630065,0.044459146738787834,tvm
4,1,1,1,128,16,1,1,[4; 1; 1; 1; 128; 16; 1; 1],0.0016871993593667867,0.12810409253489763,tvm
24,24,197,1,384,192,12,0,[24; 24; 197; 1; 384; 192; 12; 0],0.003291669250756968,0.06566186527016313,tvm
24,4,1,1,384,64,4,1,[24; 4; 1; 1; 384; 64; 4; 1],0.004876578466792125,0.04432147341193519,tvm
12,2,1,1,96,48,3,1,[12; 2; 1; 1; 96; 48; 3; 1],0.0032567762791586574,0.0663653638846138,tvm
6,3,1,1,384,32,2,1,[6; 3; 1; 1; 384; 32; 2; 1],0.0036985897495469544,0.058437717479646885,tvm
8,8,1,1,768,192,12,1,[8; 8; 1; 1; 768; 192; 12; 1],0.0030137635621940717,0.0717166885844858,tvm
24,8,1,1,768,192,12,1,[24; 8; 1; 1; 768; 192; 12; 1],0.005631127311062301,0.03838257082778848,tvm
12,2,197,1,96,96,6,1,[12; 2; 197; 1; 96; 96; 6; 1],0.0013262742422739393,0.16296564916059053,tvm
64,2,197,1,128,128,8,0,[64; 2; 197; 1; 128; 128; 8; 0],0.0010765154920591158,0.20077476306794653,tvm
32,2,197,1,128,128,8,0,[32; 2; 197; 1; 128; 128; 8; 0],0.0009817419841056108,0.22015676863819642,tvm
2,2,197,1,128,128,8,0,[2; 2; 197; 1; 128; 128; 8; 0],0.005960715876426548,0.03626026593750635,tvm
16,1,197,1,192,96,6,1,[16; 1; 197; 1; 192; 96; 6; 1],0.0015323536717914976,0.14104912386476268,tvm
12,1,197,1,128,64,4,0,[12; 1; 197; 1; 128; 64; 4; 0],0.0011251736723352224,0.19209225044216038,tvm
