kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
256,1,1,1,192,16,0,[256; 1; 1; 1; 192; 16; 0],0.0033276503745582886,0.06495187851152567,tvm
192,6,197,1,32,16,1,[192; 6; 197; 1; 32; 16; 1],0.001571336420965963,0.13754988427257017,tvm
384,3,1,1,768,64,0,[384; 3; 1; 1; 768; 64; 0],0.012260944124136586,0.017628099489635608,tvm
256,8,197,1,48,16,0,[256; 8; 197; 1; 48; 16; 0],0.0016314625609084032,0.13248060239690515,tvm
192,6,197,1,48,16,0,[192; 6; 197; 1; 48; 16; 0],0.001589053983479971,0.13601623676988636,tvm
32,8,197,1,32,16,1,[32; 8; 197; 1; 32; 16; 1],0.002300171625392977,0.09396565911476996,tvm
16,2,197,1,96,96,1,[16; 2; 197; 1; 96; 96; 1],0.0006839859684077965,0.31599645729615405,tvm
384,24,197,1,384,128,0,[384; 24; 197; 1; 384; 128; 0],0.002805512858685688,0.07704015406238332,tvm
48,8,1,1,128,128,1,[48; 8; 1; 1; 128; 128; 1],0.0017888881247927202,0.12082205693113805,tvm
384,2,197,1,128,64,1,[384; 2; 197; 1; 128; 64; 1],0.001994418578760815,0.10837100353900363,tvm
12,1,1,1,192,16,1,[12; 1; 1; 1; 192; 16; 1],0.004535446343652438,0.04765509863425824,tvm
8,4,197,1,768,128,1,[8; 4; 197; 1; 768; 128; 1],0.002702313937334111,0.07998224775851419,tvm
192,64,197,1,768,128,1,[192; 64; 197; 1; 768; 128; 1],0.005600214750302257,0.03859443833747222,tvm
384,8,197,1,32,16,0,[384; 8; 197; 1; 32; 16; 0],0.0016819698284962215,0.12850238999256128,tvm
96,2,197,1,32,16,0,[96; 2; 197; 1; 32; 16; 0],0.0013930152263128548,0.1551577748573733,tvm
192,64,1,1,384,128,0,[192; 64; 1; 1; 384; 128; 0],0.0029003519066463923,0.07452100635162479,tvm
96,12,1,1,64,64,0,[96; 12; 1; 1; 64; 64; 0],0.00193554626457626,0.11166725735923483,tvm
16,8,197,1,192,96,1,[16; 8; 197; 1; 192; 96; 1],0.0006833480665591196,0.3162914383375135,tvm
64,1,1,1,256,16,0,[64; 1; 1; 1; 256; 16; 0],0.0070499327484867536,0.03065804321375066,tvm
256,8,197,1,384,96,1,[256; 8; 197; 1; 384; 96; 1],0.002897080421462306,0.07460515809500631,tvm
96,6,1,1,64,16,1,[96; 6; 1; 1; 64; 16; 1],0.005463663812406594,0.039559012098502516,tvm
24,24,197,1,192,64,0,[24; 24; 197; 1; 192; 64; 0],0.00177232907844882,0.12195090939111074,tvm
192,24,197,1,768,128,0,[192; 24; 197; 1; 768; 128; 0],0.005588493437244324,0.038675386360249475,tvm
16,4,1,1,256,16,0,[16; 4; 1; 1; 256; 16; 0],0.0024197252187150298,0.08932301121857145,tvm
128,32,197,1,384,128,0,[128; 32; 197; 1; 384; 128; 0],0.0026667177335184533,0.08104987646066786,tvm
32,8,197,1,48,16,0,[32; 8; 197; 1; 48; 16; 0],0.0016564705165365012,0.13048052512824798,tvm
128,64,197,1,768,96,1,[128; 64; 197; 1; 768; 96; 1],0.0059782399075629655,0.036153976119913084,tvm
32,8,197,1,32,16,0,[32; 8; 197; 1; 32; 16; 0],0.0008345760315933148,0.2589783730602816,tvm
192,64,1,1,64,16,0,[192; 64; 1; 1; 64; 16; 0],0.002137915233106469,0.10109715273560575,tvm
192,6,1,1,256,16,1,[192; 6; 1; 1; 256; 16; 1],0.004211014656902989,0.05132661851528722,tvm
32,32,197,1,256,64,0,[32; 32; 197; 1; 256; 64; 0],0.00220240660928539,0.0981368026893419,tvm
32,32,1,1,384,96,0,[32; 32; 1; 1; 384; 96; 0],0.00305422926612664,0.07076650900253045,tvm
48,2,1,1,384,96,0,[48; 2; 1; 1; 384; 96; 0],0.005479889030539198,0.03944188315723537,tvm
16,2,197,1,768,16,1,[16; 2; 197; 1; 768; 16; 1],0.005688198249117704,0.037997470093569234,tvm
128,2,197,1,64,64,0,[128; 2; 197; 1; 64; 64; 0],0.0010473202110006241,0.2063715954174535,tvm
96,1,1,1,64,64,0,[96; 1; 1; 1; 64; 64; 0],0.0009940151721821167,0.21743847468914054,tvm
64,2,197,1,256,64,0,[64; 2; 197; 1; 256; 64; 0],0.0019074450319749303,0.11331238344171773,tvm
768,12,197,1,256,128,1,[768; 12; 197; 1; 256; 128; 1],0.0021236362499621464,0.10177691347140805,tvm
768,12,1,1,384,16,1,[768; 12; 1; 1; 384; 16; 1],0.010566953002125956,0.020454064933728616,tvm
192,32,197,1,256,64,1,[192; 32; 197; 1; 256; 64; 1],0.004000624936452368,0.05402584503430273,tvm
8,4,1,1,128,128,0,[8; 4; 1; 1; 128; 128; 0],0.001893005016427196,0.1141767406750321,tvm
16,16,1,1,192,96,0,[16; 16; 1; 1; 192; 96; 0],0.0007550349450866634,0.2862611118381209,tvm
16,4,1,1,192,16,1,[16; 4; 1; 1; 192; 16; 1],0.0023241819526447216,0.09299493209264324,tvm
256,32,1,1,192,96,1,[256; 32; 1; 1; 192; 96; 1],0.0014546662887369166,0.14858194249130102,tvm
24,8,197,1,384,96,0,[24; 8; 197; 1; 384; 96; 0],0.0016796701402199687,0.12867832658431233,tvm
4,2,197,1,384,96,0,[4; 2; 197; 1; 384; 96; 0],0.004193329532427015,0.051543085556657174,tvm
128,64,1,1,64,16,0,[128; 64; 1; 1; 64; 16; 0],0.003956352938985219,0.05463039981275804,tvm
8,1,197,1,384,16,1,[8; 1; 197; 1; 384; 16; 1],0.0028282817038416397,0.07641994874964715,tvm
768,8,1,1,768,128,0,[768; 8; 1; 1; 768; 128; 0],0.021899534127442166,0.009869485880354996,tvm
16,4,1,1,768,64,1,[16; 4; 1; 1; 768; 64; 1],0.005982743627100717,0.03612675994974642,tvm
768,64,197,1,128,128,1,[768; 64; 197; 1; 128; 128; 1],0.0011474892271507997,0.1883565769012128,tvm
192,6,197,1,64,64,0,[192; 6; 197; 1; 64; 64; 0],0.0017075932501029456,0.12657413751437152,tvm
16,2,197,1,768,96,0,[16; 2; 197; 1; 768; 96; 0],0.0035996938750031404,0.0600432009949608,tvm
48,48,197,1,768,96,0,[48; 48; 197; 1; 768; 96; 0],0.0038798020614194684,0.055708291153922083,tvm
64,1,197,1,384,16,1,[64; 1; 197; 1; 384; 16; 1],0.005261836278805276,0.04107637170843669,tvm
24,24,197,1,768,64,1,[24; 24; 197; 1; 768; 64; 1],0.003226579156034859,0.06698646845619421,tvm
128,64,197,1,768,16,0,[128; 64; 197; 1; 768; 16; 0],0.012130591123423073,0.017817527658631704,tvm
16,8,197,1,384,16,1,[16; 8; 197; 1; 384; 16; 1],0.0024524694690626347,0.08813041123800543,tvm
48,4,1,1,768,16,0,[48; 4; 1; 1; 768; 16; 0],0.008557934997952543,0.025255758884456695,tvm
128,32,1,1,384,16,0,[128; 32; 1; 1; 384; 16; 0],0.006005537059536437,0.0359896443422874,tvm
384,12,1,1,96,16,1,[384; 12; 1; 1; 96; 16; 1],0.0016671872963343048,0.12964178849753122,tvm
768,6,1,1,384,16,0,[768; 6; 1; 1; 384; 16; 0],0.023172632994828746,0.009327258706655238,tvm
384,8,197,1,96,96,1,[384; 8; 197; 1; 96; 96; 1],0.002163844155802508,0.0998857252624017,tvm
128,4,1,1,384,64,0,[128; 4; 1; 1; 384; 64; 0],0.003076260562011157,0.07025969956063785,tvm
96,24,197,1,192,96,0,[96; 24; 197; 1; 192; 96; 0],0.001478203718761506,0.14621607300395006,tvm
128,1,197,1,128,128,0,[128; 1; 197; 1; 128; 128; 0],0.0010248565859001246,0.21089501285422393,tvm
128,16,197,1,128,128,0,[128; 16; 197; 1; 128; 128; 0],0.001978439093363704,0.10924629602302825,tvm
32,8,1,1,192,96,0,[32; 8; 1; 1; 192; 96; 0],0.001844676437031012,0.11716805100249092,tvm
96,8,197,1,192,96,1,[96; 8; 197; 1; 192; 96; 1],0.0028002346716675675,0.07718536772792368,tvm
96,6,197,1,128,128,1,[96; 6; 197; 1; 128; 128; 1],0.0017134658592112828,0.12614032645893036,tvm
12,4,197,1,64,64,1,[12; 4; 197; 1; 64; 64; 1],0.000989776499409345,0.21836964505231632,tvm
24,8,197,1,128,64,1,[24; 8; 197; 1; 128; 64; 1],0.0021713187652494526,0.0995418758020598,tvm
24,24,197,1,128,64,0,[24; 24; 197; 1; 128; 64; 0],0.001150917359154846,0.18779553643700272,tvm
24,12,197,1,192,64,0,[24; 12; 197; 1; 192; 64; 0],0.0016154367349372478,0.13379486685099976,tvm
96,12,197,1,128,128,1,[96; 12; 197; 1; 128; 128; 1],0.0018028182967100292,0.11988847864012277,tvm
2,1,1,1,192,96,0,[2; 1; 1; 1; 192; 96; 0],0.007422955684887711,0.02911739636236457,tvm
6,2,1,1,192,96,0,[6; 2; 1; 1; 192; 96; 0],0.0033527201267133933,0.06446620495848483,tvm
16,1,1,1,192,96,0,[16; 1; 1; 1; 192; 96; 0],0.002638289468450239,0.08192321026248278,tvm
24,2,1,1,128,128,0,[24; 2; 1; 1; 128; 128; 0],0.0023454045149264857,0.09215346072782564,tvm
12,4,1,1,96,96,1,[12; 4; 1; 1; 96; 96; 1],0.001014491351270408,0.21304976389052774,tvm
2,1,197,1,128,64,0,[2; 1; 197; 1; 128; 64; 0],0.004010693937743781,0.053890211073730286,tvm
6,1,1,1,128,128,1,[6; 1; 1; 1; 128; 128; 1],0.001802472546842182,0.11991147562042011,tvm
1,1,1,1,128,128,1,[1; 1; 1; 1; 128; 128; 1],0.006281369875068776,0.03440923670408381,tvm
96,4,197,1,128,128,0,[96; 4; 197; 1; 128; 128; 0],0.0019734219058591407,0.10952404157237035,tvm
48,24,197,1,192,96,0,[48; 24; 197; 1; 192; 96; 0],0.0028734658590110485,0.07521827418945916,tvm
8,2,1,1,96,96,1,[8; 2; 1; 1; 96; 96; 1],0.0014061796873647836,0.15370520908475738,tvm
4,1,1,1,96,96,1,[4; 1; 1; 1; 96; 96; 1],0.0012791025546903256,0.1689756165872644,tvm
3,1,1,1,96,96,1,[3; 1; 1; 1; 96; 96; 1],0.002200729235482868,0.098211601578383,tvm
8,2,197,1,64,64,0,[8; 2; 197; 1; 64; 64; 0],0.0020414687496668193,0.10587335362954628,tvm
64,64,197,1,128,128,1,[64; 64; 197; 1; 128; 128; 1],0.0019247639065724798,0.1122928075069886,tvm
96,4,197,1,96,96,0,[96; 4; 197; 1; 96; 96; 0],0.003490228311420651,0.06192636228120191,tvm
48,8,197,1,192,96,1,[48; 8; 197; 1; 192; 96; 1],0.0040027586874202825,0.05399704547176686,tvm
12,12,197,1,192,64,0,[12; 12; 197; 1; 192; 64; 0],0.002897482532716822,0.0745948044264764,tvm
16,4,1,1,128,128,0,[16; 4; 1; 1; 128; 128; 0],0.0025558689376339316,0.0845650337052218,tvm
16,8,197,1,192,64,0,[16; 8; 197; 1; 192; 64; 0],0.0018261872664879775,0.11835431492894256,tvm
24,8,1,1,128,128,1,[24; 8; 1; 1; 128; 128; 1],0.001285227788685006,0.16817030005107947,tvm
48,1,197,1,96,96,1,[48; 1; 197; 1; 96; 96; 1],0.0013851395160600077,0.15603998034215294,tvm
12,2,1,1,128,128,0,[12; 2; 1; 1; 128; 128; 0],0.0018891678446379956,0.11440865006812526,tvm
12,3,1,1,96,96,0,[12; 3; 1; 1; 96; 96; 0],0.0014332473283502623,0.15080240415025037,tvm
48,12,197,1,192,96,0,[48; 12; 197; 1; 192; 96; 0],0.002825393139573862,0.07649807732234445,tvm
16,2,1,1,96,96,0,[16; 2; 1; 1; 96; 96; 0],0.0016934822961047757,0.1276288174693563,tvm
64,32,197,1,128,128,0,[64; 32; 197; 1; 128; 128; 0],0.0026915236721833935,0.080302895007351,tvm
64,4,197,1,96,96,0,[64; 4; 197; 1; 96; 96; 0],0.002358496514716535,0.09164191742853608,tvm
24,12,1,1,96,96,0,[24; 12; 1; 1; 96; 96; 0],0.002284887295900262,0.0945942249514689,tvm
48,8,197,1,96,96,0,[48; 8; 197; 1; 96; 96; 0],0.0015247360624925932,0.1417538078713822,tvm
8,8,1,1,128,128,0,[8; 8; 1; 1; 128; 128; 0],0.0017925070624187356,0.1205781262392887,tvm
8,8,1,1,96,96,0,[8; 8; 1; 1; 96; 96; 0],0.0021705170456698397,0.09957864338745201,tvm
16,16,1,1,128,128,0,[16; 16; 1; 1; 128; 128; 0],0.0017297152644459857,0.1249553306834983,tvm
24,3,197,1,192,96,1,[24; 3; 197; 1; 192; 96; 1],0.0014531183587678242,0.1487402189594638,tvm
32,16,197,1,192,96,1,[32; 16; 197; 1; 192; 96; 1],0.001532617921839119,0.14102480453692037,tvm
24,4,197,1,192,96,0,[24; 4; 197; 1; 192; 96; 0],0.002181057359848637,0.09909741340876176,tvm
