i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
50,2,2,256,32,32,40,40,2,0,[50; 2; 2; 256; 32; 32; 40; 40; 2; 0],0.1044738789787516,0.17502666182647744,tvm
1500,10,1,640,128,128,8,1,8,0,[1500; 10; 1; 640; 128; 128; 8; 1; 8; 0],0.06155465199844912,0.2970647009128571,tvm
1500,15,5,640,640,32,20,10,2,0,[1500; 15; 5; 640; 640; 32; 20; 10; 2; 0],0.045155575237004086,0.40494920482663926,tvm
5,5,1,2560,160,16,320,4,1,1,[5; 5; 1; 2560; 160; 16; 320; 4; 1; 1],0.2040144340135157,0.08962951260842103,tvm
250,50,5,2560,80,16,1,1,1,1,[250; 50; 5; 2560; 80; 16; 1; 1; 1; 1],0.07887892198050395,0.2318200328629474,tvm
150,30,30,128,32,16,64,1,1,1,[150; 30; 30; 128; 32; 16; 64; 1; 1; 1],0.046831927000312135,0.3904540226498135,tvm
750,75,3,2560,80,16,40,8,1,1,[750; 75; 3; 2560; 80; 16; 40; 8; 1; 1],0.09906275250250474,0.18458718159736118,tvm
300,50,5,5120,320,64,128,16,4,0,[300; 50; 5; 5120; 320; 64; 128; 16; 4; 0],0.041974908497650176,0.4356344049383205,tvm
500,50,5,1280,1280,80,64,4,5,0,[500; 50; 5; 1280; 1280; 80; 64; 4; 5; 0],0.03391962425666861,0.5390895296288345,tvm
1500,20,1,512,64,16,128,8,1,1,[1500; 20; 1; 512; 64; 16; 128; 8; 1; 1],0.2335632109316066,0.07829021622360219,tvm
500,10,5,256,256,16,320,5,1,0,[500; 10; 5; 256; 256; 16; 320; 5; 1; 0],0.07730770402122289,0.2365315917375376,tvm
1500,500,2,5120,1024,64,8,4,4,0,[1500; 500; 2; 5120; 1024; 64; 8; 4; 4; 0],0.3470081159612164,0.05269535046770492,tvm
375,375,25,1024,128,16,128,1,1,1,[375; 375; 25; 1024; 128; 16; 128; 1; 1; 1],0.03541674299049191,0.5163014083656232,tvm
50,10,1,256,256,16,640,5,1,0,[50; 10; 1; 256; 256; 16; 640; 5; 1; 0],0.22075669991318136,0.0828319787934212,tvm
10,10,5,128,128,64,80,10,4,1,[10; 10; 5; 128; 128; 64; 80; 10; 4; 1],0.03544584501651116,0.515877510528993,tvm
60,10,2,5120,512,64,5,1,4,0,[60; 10; 2; 5120; 512; 64; 5; 1; 4; 0],0.059778760478366166,0.30588982005292426,tvm
60,60,4,128,64,16,16,16,1,1,[60; 60; 4; 128; 64; 16; 16; 16; 1; 1],0.04550639574881643,0.40182734722931507,tvm
1500,375,25,64,16,16,640,64,1,1,[1500; 375; 25; 64; 16; 16; 640; 64; 1; 1],0.08926481398520991,0.20484795149793295,tvm
1500,50,1,320,160,32,40,2,2,1,[1500; 50; 1; 320; 160; 32; 40; 2; 2; 1],0.08918375003850088,0.20503414890964208,tvm
20,20,5,640,640,64,16,1,4,1,[20; 20; 5; 640; 640; 64; 16; 1; 4; 1],0.03307336973375641,0.5528833146702596,tvm
60,10,2,640,64,64,40,5,4,0,[60; 10; 2; 640; 64; 64; 40; 5; 4; 0],0.07616147701628506,0.24009138218005388,tvm
60,2,2,128,128,32,64,4,2,1,[60; 2; 2; 128; 128; 32; 64; 4; 2; 1],0.11551430798135698,0.15829826283221507,tvm
30,30,1,2560,512,64,64,16,4,1,[30; 30; 1; 2560; 512; 64; 64; 16; 4; 1],0.06987485149875283,0.2616923527349559,tvm
