kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
20,1,1500,5,320,32,2,0,[20; 1; 1500; 5; 320; 32; 2; 0],0.05368498351890594,0.3406113420762197,tvm
64,32,50,2,80,80,5,1,[64; 32; 50; 2; 80; 80; 5; 1],0.035431224008789286,0.5160903919429434,tvm
40,40,100,10,160,32,2,1,[40; 40; 100; 10; 160; 32; 2; 1],0.032464435236761346,0.5632537314250987,tvm
4,2,500,20,256,16,1,1,[4; 2; 500; 20; 256; 16; 1; 1],0.13744544005021453,0.13303980313231023,tvm
40,5,500,2,5120,64,4,0,[40; 5; 500; 2; 5120; 64; 4; 0],0.35755850898567587,0.051140481421033196,tvm
80,80,750,30,160,16,1,1,[80; 80; 750; 30; 160; 16; 1; 1],0.07955830701394007,0.2298404148106155,tvm
64,16,300,1,128,128,8,1,[64; 16; 300; 1; 128; 128; 8; 1],0.059107395994942635,0.3093642340000709,tvm
1,1,6,3,640,80,5,1,[1; 1; 6; 3; 640; 80; 5; 1],0.2515496639534831,0.0726922628252674,tvm
1,1,375,5,640,64,4,0,[1; 1; 375; 5; 640; 64; 4; 0],0.5602681229356676,0.03263743471590286,tvm
8,4,60,10,1280,16,1,0,[8; 4; 60; 10; 1280; 16; 1; 0],0.1670595520408824,0.10945626312489723,tvm
128,1,100,25,5120,16,1,0,[128; 1; 100; 25; 5120; 16; 1; 0],0.36424476304091513,0.05020172186706299,tvm
32,1,20,4,2560,64,4,0,[32; 1; 20; 4; 2560; 64; 4; 0],0.12229434202890843,0.14952216089761403,tvm
5,1,1500,4,128,32,2,0,[5; 1; 1500; 4; 128; 32; 2; 0],0.11178845097310841,0.16357427020894189,tvm
40,8,150,2,256,64,4,0,[40; 8; 150; 2; 256; 64; 4; 0],0.054212832474149764,0.3372949438573135,tvm
80,10,10,5,320,64,4,1,[80; 10; 10; 5; 320; 64; 4; 1],0.023000805376796052,0.7950032177639093,tvm
32,16,150,5,64,32,2,0,[32; 16; 150; 5; 64; 32; 2; 0],0.04196875751949847,0.4356982519012825,tvm
2,2,300,10,128,32,2,0,[2; 2; 300; 10; 128; 32; 2; 0],0.2561718529323116,0.07138065355894478,tvm
2,1,60,6,160,32,2,1,[2; 1; 60; 6; 160; 32; 2; 1],0.09577768796589226,0.19091830961952308,tvm
32,2,300,20,1280,16,1,1,[32; 2; 300; 20; 1280; 16; 1; 1],0.0883265440352261,0.20702399811342825,tvm
