kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
256,16,15,1,128,128,0,[256; 16; 15; 1; 128; 128; 0],0.08696211100323126,0.21027219871691988,tvm
512,2,3,1,128,16,0,[512; 2; 3; 1; 128; 16; 0],0.22824112605303526,0.08011577318219736,tvm
32,32,1500,1,640,128,0,[32; 32; 1500; 1; 640; 128; 0],0.17983419098891318,0.10168096614531776,tvm
40,5,60,1,64,16,0,[40; 5; 60; 1; 64; 16; 0],0.10710387700237334,0.17072878029717906,tvm
320,5,12,1,640,64,1,[320; 5; 12; 1; 640; 64; 1],0.22078956000041217,0.08281965091864013,tvm
128,1,250,1,64,64,0,[128; 1; 250; 1; 64; 64; 0],0.08471271046437323,0.21585561582762158,tvm
1280,5,15,1,640,64,0,[1280; 5; 15; 1; 640; 64; 0],0.6743854329688475,0.027114634142103387,tvm
80,20,20,1,32,16,1,[80; 20; 20; 1; 32; 16; 1],0.11273804202210158,0.16219648627682826,tvm
5120,10,15,1,32,16,0,[5120; 10; 15; 1; 32; 16; 0],0.3150686320150271,0.05803724150121728,tvm
320,2,10,1,64,64,1,[320; 2; 10; 1; 64; 64; 1],0.06470896553946659,0.2825839376857549,tvm
5120,1,20,1,160,16,0,[5120; 1; 20; 1; 160; 16; 0],0.3126228890614584,0.058491284309382434,tvm
256,16,50,1,640,64,1,[256; 16; 50; 1; 640; 64; 1],0.21340964699629694,0.08568363493910647,tvm
2560,16,500,1,16,16,1,[2560; 16; 500; 1; 16; 16; 1],0.32079687691293657,0.05700091117369881,tvm
5120,5,15,1,640,128,1,[5120; 5; 15; 1; 640; 128; 1],0.9007088239304721,0.020301471241194153,tvm
5120,40,750,1,128,16,1,[5120; 40; 750; 1; 128; 16; 1],0.5027959640137851,0.03636806099185981,tvm
1024,4,15,1,128,128,0,[1024; 4; 15; 1; 128; 128; 0],0.0971814360236749,0.18816056886893093,tvm
4,2,2,1,128,16,1,[4; 2; 2; 1; 128; 16; 1],0.07518493453972042,0.24320981853158216,tvm
32,1,6,1,256,64,0,[32; 1; 6; 1; 256; 64; 0],0.07464361499296501,0.24497358933430105,tvm
1280,40,4,1,32,16,1,[1280; 40; 4; 1; 32; 16; 1],0.23398672603070736,0.07814851122501092,tvm
160,40,12,1,640,128,0,[160; 40; 12; 1; 640; 128; 0],0.2143049379810691,0.08532567871734985,tvm
5120,8,30,1,1280,128,0,[5120; 8; 30; 1; 1280; 128; 0],1.8416718089720234,0.009928866911374904,tvm
160,16,1500,1,32,16,1,[160; 16; 1500; 1; 32; 16; 1],0.13164100097492337,0.13890591951057543,tvm
1280,32,375,1,1280,128,0,[1280; 32; 375; 1; 1280; 128; 0],1.2292353729717433,0.014875681816337239,tvm
64,64,10,1,32,16,1,[64; 64; 10; 1; 32; 16; 1],0.10619125096127391,0.17219605306639402,tvm
80,20,10,1,128,16,0,[80; 20; 10; 1; 128; 16; 0],0.18402661895379424,0.09936450710049452,tvm
20,5,4,1,320,64,1,[20; 5; 4; 1; 320; 64; 1],0.09890592901501805,0.18487985975985072,tvm
