i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
1500,1500,6,160,32,32,10,2,2,0,[1500; 1500; 6; 160; 32; 32; 10; 2; 2; 0],0.021595456637442112,0.21168473758978767,tvm
150,10,1,640,640,160,1280,4,10,1,[150; 10; 1; 640; 640; 160; 1280; 4; 10; 1],0.12139639595989138,0.03765703697611372,tvm
125,25,1,1280,256,32,1280,40,2,1,[125; 25; 1; 1280; 256; 32; 1280; 40; 2; 1],0.050231095985509455,0.09100794003673196,tvm
30,10,5,320,64,64,32,8,4,0,[30; 10; 5; 320; 64; 64; 32; 8; 4; 0],0.008976358687505126,0.5092742759702651,tvm
300,60,6,160,160,32,320,5,2,1,[300; 60; 6; 160; 160; 32; 320; 5; 2; 1],0.007407909688481595,0.6171010127913129,tvm
1500,1,1,128,128,64,40,2,4,1,[1500; 1; 1; 128; 128; 64; 40; 2; 4; 1],0.061371586460154504,0.07448770408430896,tvm
150,15,3,640,320,32,20,1,2,1,[150; 15; 3; 640; 320; 32; 20; 1; 2; 1],0.02576207826496102,0.17744797311815358,tvm
750,25,1,160,160,160,4,2,10,0,[750; 25; 1; 160; 160; 160; 4; 2; 10; 0],0.020026595491799526,0.22826788373992357,tvm
1500,20,2,320,16,16,640,64,1,1,[1500; 20; 2; 320; 16; 16; 640; 64; 1; 1],0.03980190498987213,0.11485451695319115,tvm
750,125,5,256,128,32,320,8,2,1,[750; 125; 5; 256; 128; 32; 320; 8; 2; 1],0.01279207962215878,0.3573639866585744,tvm
4,2,1,64,64,16,320,20,1,1,[4; 2; 1; 64; 64; 16; 320; 20; 1; 1],0.05761802947381511,0.07934024494027667,tvm
750,125,1,64,64,64,256,4,4,1,[750; 125; 1; 64; 64; 64; 256; 4; 4; 1],0.014348420867463574,0.3186015111805597,tvm
150,30,2,640,32,32,1280,64,2,0,[150; 30; 2; 640; 32; 32; 1280; 64; 2; 0],0.06746332149486989,0.06776168842763244,tvm
250,250,10,256,64,32,16,2,2,1,[250; 250; 10; 256; 64; 32; 16; 2; 2; 1],0.016755590244429186,0.27283005282063744,tvm
250,25,1,1280,640,80,1280,10,5,0,[250; 25; 1; 1280; 640; 80; 1280; 10; 5; 0],0.13479880196973681,0.03391297626261461,tvm
60,12,3,1280,320,64,320,4,4,0,[60; 12; 3; 1280; 320; 64; 320; 4; 4; 0],0.03552247449988499,0.12869116343354323,tvm
100,100,5,640,320,80,1280,20,5,0,[100; 100; 5; 640; 320; 80; 1280; 20; 5; 0],0.011387923681468237,0.401427749192571,tvm
100,50,25,128,32,16,256,2,1,1,[100; 50; 25; 128; 32; 16; 256; 2; 1; 1],0.008945300003688317,0.5110425105411428,tvm
20,20,2,1280,64,32,640,64,2,0,[20; 20; 2; 1280; 64; 32; 640; 64; 2; 0],0.01669871275953483,0.2737593392531603,tvm
300,15,1,64,64,32,320,5,2,1,[300; 15; 1; 64; 64; 32; 320; 5; 2; 1],0.02050654386403039,0.2229253550349413,tvm
1500,500,4,32,16,16,320,8,1,0,[1500; 500; 4; 32; 16; 16; 320; 8; 1; 0],0.02051632724760566,0.22281905120040804,tvm
60,15,1,256,32,32,40,1,2,1,[60; 15; 1; 256; 32; 32; 40; 1; 2; 1],0.036070916743483394,0.1267344715394418,tvm
20,20,10,160,32,32,640,2,2,1,[20; 20; 10; 160; 32; 32; 640; 2; 2; 1],0.026593590999254957,0.171899634447888,tvm
300,6,6,640,64,64,320,64,4,0,[300; 6; 6; 640; 64; 64; 320; 64; 4; 0],0.049810707510914654,0.0917760216601394,tvm
500,50,5,1280,64,32,128,32,2,0,[500; 50; 5; 1280; 64; 32; 128; 32; 2; 0],0.017878363622003235,0.2556961402106415,tvm
60,10,10,256,128,32,80,40,2,1,[60; 10; 10; 256; 128; 32; 80; 40; 2; 1],0.018622045870870352,0.24548476591282897,tvm
1500,60,1,320,320,160,256,32,10,1,[1500; 60; 1; 320; 320; 160; 256; 32; 10; 1],0.027691917232004926,0.16508169272386616,tvm
20,1,1,1280,640,16,320,64,1,1,[20; 1; 1; 1280; 640; 16; 320; 64; 1; 1],0.10807490802835673,0.042298704248992916,tvm
1500,15,1,1280,640,128,320,8,8,0,[1500; 15; 1; 1280; 640; 128; 320; 8; 8; 0],0.1443632129812613,0.03166615979946327,tvm
10,2,1,32,32,16,1280,1,1,1,[10; 2; 1; 32; 32; 16; 1280; 1; 1; 1],0.04210711823543534,0.108566645332225,tvm
15,1,1,1280,1280,64,8,4,4,0,[15; 1; 1; 1280; 1280; 64; 8; 4; 4; 0],0.043435377010609955,0.10524666495497229,tvm
150,25,5,640,32,16,128,32,1,1,[150; 25; 5; 640; 32; 16; 128; 32; 1; 1],0.02839933824725449,0.1609695455446225,tvm
500,500,2,640,64,32,20,4,2,0,[500; 500; 2; 640; 64; 32; 20; 4; 2; 0],0.015816110622836277,0.28903620368133115,tvm
60,2,2,640,320,32,10,2,2,0,[60; 2; 2; 640; 320; 32; 10; 2; 2; 0],0.03204895250382833,0.1426389386948763,tvm
300,150,30,128,32,16,5,1,1,0,[300; 150; 30; 128; 32; 16; 5; 1; 1; 0],0.026129035250050947,0.1749558882553713,tvm
150,150,2,256,256,64,16,8,4,0,[150; 150; 2; 256; 256; 64; 16; 8; 4; 0],0.007117375876987353,0.6422912953367258,tvm
25,1,1,128,64,16,128,64,1,1,[25; 1; 1; 128; 64; 16; 128; 64; 1; 1],0.12064682296477258,0.0378909983627449,tvm
750,15,3,640,32,16,256,8,1,1,[750; 15; 3; 640; 32; 16; 256; 8; 1; 1],0.026978206733474508,0.16944894138409697,tvm
300,75,1,64,64,32,640,5,2,0,[300; 75; 1; 64; 64; 32; 640; 5; 2; 0],0.03949055398697965,0.11576005170592968,tvm
300,30,15,1280,160,16,128,4,1,0,[300; 30; 15; 1280; 160; 16; 128; 4; 1; 0],0.028415612992830575,0.16087735191853753,tvm
250,5,1,640,128,64,40,2,4,0,[250; 5; 1; 640; 128; 64; 40; 2; 4; 0],0.030556910758605227,0.14960375436974424,tvm
300,100,1,640,320,32,4,1,2,0,[300; 100; 1; 640; 320; 32; 4; 1; 2; 0],0.03345833774073981,0.13663047479678803,tvm
300,60,4,32,32,16,256,4,1,1,[300; 60; 4; 32; 32; 16; 256; 4; 1; 1],0.009933038440067321,0.46022459280823935,tvm
12,12,2,256,128,32,64,8,2,0,[12; 12; 2; 256; 128; 32; 64; 8; 2; 0],0.02451856862171553,0.1864476120918316,tvm
75,5,1,320,80,16,256,64,1,1,[75; 5; 1; 320; 80; 16; 256; 64; 1; 1],0.037084998504724354,0.1232689431238943,tvm
6,3,3,320,160,32,320,4,2,1,[6; 3; 3; 320; 160; 32; 320; 4; 2; 1],0.01723411987768486,0.2652545417969248,tvm
30,6,1,320,320,160,8,1,10,0,[30; 6; 1; 320; 320; 160; 8; 1; 10; 0],0.02995952675701119,0.15258680848016923,tvm
1500,10,1,1280,80,16,80,20,1,1,[1500; 10; 1; 1280; 80; 16; 80; 20; 1; 1],0.2925263539655134,0.01562740761458883,tvm
30,10,2,320,64,64,160,8,4,0,[30; 10; 2; 320; 64; 64; 160; 8; 4; 0],0.011756456129660364,0.38884409732073205,tvm
750,250,5,256,128,16,1280,5,1,0,[750; 250; 5; 256; 128; 16; 1280; 5; 1; 0],0.032388399238698184,0.14114401078416233,tvm
1500,1500,5,16,16,16,8,2,1,0,[1500; 1500; 5; 16; 16; 16; 8; 2; 1; 0],0.01800259863375686,0.2539315942342145,tvm
30,6,2,640,80,16,32,2,1,0,[30; 6; 2; 640; 80; 16; 32; 2; 1; 0],0.04024500824743882,0.11358995240656948,tvm
10,2,2,1280,32,16,16,4,1,1,[10; 2; 2; 1280; 32; 16; 16; 4; 1; 1],0.04871542172622867,0.09383945390269069,tvm
300,30,1,640,128,64,1280,2,4,0,[300; 30; 1; 640; 128; 64; 1280; 2; 4; 0],0.11540981894358993,0.03961039548691257,tvm
30,6,2,32,16,16,16,4,1,1,[30; 6; 2; 32; 16; 16; 16; 4; 1; 1],0.03504916775273159,0.13042901913333713,tvm
500,50,5,1280,1280,16,160,10,1,1,[500; 50; 5; 1280; 1280; 16; 160; 10; 1; 1],0.026804047491168603,0.17054993552502717,tvm
12,6,6,256,32,32,1280,16,2,0,[12; 6; 6; 256; 32; 32; 1280; 16; 2; 0],0.011962715121626388,0.3821397170249645,tvm
4,2,1,1280,80,80,640,5,5,1,[4; 2; 1; 1280; 80; 80; 640; 5; 5; 1],0.05407746700802818,0.08453481319215471,tvm
300,100,1,160,32,32,64,2,2,0,[300; 100; 1; 160; 32; 32; 64; 2; 2; 0],0.05203960451763123,0.08784518279495673,tvm
375,3,3,1280,320,80,640,4,5,1,[375; 3; 3; 1280; 320; 80; 640; 4; 5; 1],0.06569208903238177,0.06958872276348474,tvm
1500,25,5,128,128,64,160,4,4,1,[1500; 25; 5; 128; 128; 64; 160; 4; 4; 1],0.010489535750821233,0.4358084742759632,tvm
500,125,5,1280,640,32,1280,64,2,0,[500; 125; 5; 1280; 640; 32; 1280; 64; 2; 0],0.032076572242658585,0.1425161185193297,tvm
100,20,5,640,32,16,10,1,1,0,[100; 20; 5; 640; 32; 16; 10; 1; 1; 0],0.020018981871544383,0.22835469859366553,tvm
1500,60,2,160,160,32,160,10,2,1,[1500; 60; 2; 160; 160; 32; 160; 10; 2; 1],0.019515838750521652,0.2342419728850434,tvm
375,125,5,256,128,16,32,4,1,0,[375; 125; 5; 256; 128; 16; 32; 4; 1; 0],0.01017593818687601,0.44923902715175495,tvm
1500,75,5,64,32,32,640,32,2,1,[1500; 75; 5; 64; 32; 32; 640; 32; 2; 1],0.007257338686031289,0.629904262319674,tvm
30,30,6,128,32,32,256,1,2,0,[30; 30; 6; 128; 32; 32; 256; 1; 2; 0],0.014679511630674824,0.31141557610649345,tvm
250,250,10,160,16,16,640,8,1,0,[250; 250; 10; 160; 16; 16; 640; 8; 1; 0],0.015380340511910617,0.2972254462044214,tvm
1500,60,4,256,64,32,160,20,2,1,[1500; 60; 4; 256; 64; 32; 160; 20; 2; 1],0.021214238498941995,0.21548869508828045,tvm
750,50,5,320,80,80,32,32,5,1,[750; 50; 5; 320; 80; 80; 32; 32; 5; 1],0.0221331058855867,0.206542569988134,tvm
50,50,10,320,32,16,1280,40,1,0,[50; 50; 10; 320; 32; 16; 1280; 40; 1; 0],0.014088876501773484,0.32447076747767134,tvm
500,25,5,128,64,32,256,2,2,1,[500; 25; 5; 128; 64; 32; 256; 2; 2; 1],0.015232937250402756,0.3001015822675764,tvm
60,60,5,64,16,16,8,4,1,0,[60; 60; 5; 64; 16; 16; 8; 4; 1; 0],0.011043746875657234,0.4139381880894945,tvm
300,60,5,128,128,16,80,1,1,0,[300; 60; 5; 128; 128; 16; 80; 1; 1; 0],0.015502726746490225,0.29487900071924644,tvm
100,10,5,160,80,80,40,1,5,0,[100; 10; 5; 160; 80; 80; 40; 1; 5; 0],0.01315008825622499,0.34763482056970596,tvm
375,25,5,320,160,80,160,2,5,1,[375; 25; 5; 320; 160; 80; 160; 2; 5; 1],0.013082243996905163,0.3494376478920607,tvm
300,150,2,64,64,64,40,8,4,1,[300; 150; 2; 64; 64; 64; 40; 8; 4; 1],0.008962181564129423,0.5100798883304744,tvm
300,300,4,128,128,16,80,40,1,1,[300; 300; 4; 128; 128; 16; 80; 40; 1; 1],0.021999586999299936,0.20779610869849705,tvm
300,15,5,256,64,64,320,20,4,1,[300; 15; 5; 256; 64; 64; 320; 20; 4; 1],0.008681801184138749,0.5265530129600712,tvm
250,250,2,160,160,80,256,8,5,0,[250; 250; 2; 160; 160; 80; 256; 8; 5; 0],0.01707405438355636,0.2677412446238436,tvm
500,100,25,64,64,16,320,1,1,1,[500; 100; 25; 64; 64; 16; 320; 1; 1; 1],0.00882478299899958,0.518021641092683,tvm
300,300,10,32,16,16,160,4,1,1,[300; 300; 10; 32; 16; 16; 160; 4; 1; 1],0.00859332693653414,0.5319742406160937,tvm
250,250,25,256,16,16,320,64,1,1,[250; 250; 25; 256; 16; 16; 320; 64; 1; 1],0.018244071005028673,0.25057064128771117,tvm
1500,50,10,256,256,32,640,2,2,1,[1500; 50; 10; 256; 256; 32; 640; 2; 2; 1],0.011876990312885027,0.3848978950895625,tvm
100,50,25,320,80,16,128,8,1,0,[100; 50; 25; 320; 80; 16; 128; 8; 1; 0],0.022680574998958036,0.20155699631242097,tvm
15,15,5,256,64,64,40,20,4,1,[15; 15; 5; 256; 64; 64; 40; 20; 4; 1],0.014691149510326795,0.31116888220456773,tvm
75,25,5,128,128,32,20,5,2,1,[75; 25; 5; 128; 128; 32; 20; 5; 2; 1],0.013933032751083374,0.32810003773752106,tvm
300,300,10,256,256,16,128,32,1,1,[300; 300; 10; 256; 256; 16; 128; 32; 1; 1],0.013723366253543645,0.3331127718206995,tvm
250,125,5,32,32,32,2,2,2,1,[250; 125; 5; 32; 32; 32; 2; 2; 2; 1],0.011153024941449985,0.40988239472494614,tvm
300,60,6,64,64,16,8,8,1,0,[300; 60; 6; 64; 64; 16; 8; 8; 1; 0],0.026614566246280447,0.17176415836074194,tvm
25,25,5,320,320,80,80,10,5,0,[25; 25; 5; 320; 320; 80; 80; 10; 5; 0],0.01274877462128643,0.35857787961799314,tvm
150,150,5,320,64,16,640,64,1,1,[150; 150; 5; 320; 64; 16; 640; 64; 1; 1],0.018454063494573347,0.24771934770750403,tvm
500,25,5,256,128,64,32,8,4,1,[500; 25; 5; 256; 128; 64; 32; 8; 4; 1],0.014442184125073254,0.31653304872993954,tvm
100,25,5,320,320,80,10,2,5,1,[100; 25; 5; 320; 320; 80; 10; 2; 5; 1],0.01744170287565794,0.2620976061809061,tvm
150,30,6,256,128,64,80,40,4,1,[150; 30; 6; 256; 128; 64; 80; 40; 4; 1],0.009692677442217246,0.4716373363996766,tvm
60,60,4,160,160,16,16,16,1,0,[60; 60; 4; 160; 160; 16; 16; 16; 1; 0],0.018508186491089873,0.2469949486206727,tvm
300,75,5,80,80,16,4,1,1,1,[300; 75; 5; 80; 80; 16; 4; 1; 1; 1],0.00833422574942233,0.5485126883856525,tvm
50,50,5,64,32,16,1280,5,1,0,[50; 50; 5; 64; 32; 16; 1280; 5; 1; 0],0.028105556993978098,0.16265212507291874,tvm
250,125,25,256,64,16,40,8,1,1,[250; 125; 25; 256; 64; 16; 40; 8; 1; 1],0.008782769749814179,0.5204996489319661,tvm
300,75,15,160,32,16,128,16,1,1,[300; 75; 15; 160; 32; 16; 128; 16; 1; 1],0.007822433319233824,0.5843998133149092,tvm
1500,125,5,160,160,32,640,8,2,1,[1500; 125; 5; 160; 160; 32; 640; 8; 2; 1],0.012639950888114981,0.3616650580285852,tvm
150,50,25,160,160,16,128,16,1,0,[150; 50; 25; 160; 160; 16; 128; 16; 1; 0],0.07250117301009595,0.06305316702658025,tvm
300,30,6,128,64,64,160,8,4,0,[300; 30; 6; 128; 64; 64; 160; 8; 4; 0],0.014240663003874943,0.3210123412220813,tvm
60,30,5,160,160,80,2,1,5,1,[60; 30; 5; 160; 160; 80; 2; 1; 5; 1],0.035536359500838444,0.12864088037269866,tvm
50,50,25,160,16,16,64,16,1,1,[50; 50; 25; 160; 16; 16; 64; 16; 1; 1],0.01373068462999072,0.33293522461681224,tvm
250,50,5,320,80,80,128,1,5,0,[250; 50; 5; 320; 80; 80; 128; 1; 5; 0],0.006352839314786252,0.7195882572991511,tvm
