kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
80,2,375,5,64,64,4,1,[80; 2; 375; 5; 64; 64; 4; 1],0.007080397997924592,0.6456457070306711,tvm
16,1,1500,1,256,16,1,1,[16; 1; 1500; 1; 256; 16; 1; 1],0.027190504013560712,0.16812592253342065,tvm
8,4,150,15,32,16,1,0,[8; 4; 150; 15; 32; 16; 1; 0],0.03638089349260554,0.12565465365378453,tvm
5,1,375,15,1280,16,1,1,[5; 1; 375; 15; 1280; 16; 1; 1],0.19777674903161824,0.023114084915501088,tvm
20,2,750,1,1280,128,8,0,[20; 2; 750; 1; 1280; 128; 8; 0],0.07405931846005842,0.061726581698075295,tvm
128,1,100,2,1280,64,4,1,[128; 1; 100; 2; 1280; 64; 4; 1],0.07149579597171396,0.06393982344412497,tvm
20,10,1500,4,64,64,4,0,[20; 10; 1500; 4; 64; 64; 4; 0],0.010607331118080765,0.4309687819244491,tvm
8,1,50,2,640,32,2,0,[8; 1; 50; 2; 640; 32; 2; 0],0.05297522200271487,0.086293712392452,tvm
80,10,12,3,320,80,5,1,[80; 10; 12; 3; 320; 80; 5; 1],0.012826075617340393,0.3564167799890533,tvm
32,16,12,3,640,80,5,0,[32; 16; 12; 3; 640; 80; 5; 0],0.06038654450094327,0.07570276804557285,tvm
80,40,750,5,64,32,2,0,[80; 40; 750; 5; 64; 32; 2; 0],0.00944759637786774,0.4838721288028091,tvm
64,2,75,3,320,80,5,1,[64; 2; 75; 3; 320; 80; 5; 1],0.027303381240926683,0.1674308588775145,tvm
64,32,375,5,1280,64,4,1,[64; 32; 375; 5; 1280; 64; 4; 1],0.05331060546450317,0.08575082821883263,tvm
16,1,750,15,16,16,1,0,[16; 1; 750; 15; 16; 16; 1; 0],0.01966592225653585,0.23245431929383759,tvm
80,16,750,30,16,16,1,0,[80; 16; 750; 30; 16; 16; 1; 0],0.024806775749311782,0.1842814486503913,tvm
40,8,300,30,160,16,1,0,[40; 8; 300; 30; 160; 16; 1; 0],0.012303051189519465,0.3715686865810012,tvm
16,2,250,5,256,64,4,0,[16; 2; 250; 5; 256; 64; 4; 0],0.013953090252471156,0.3276283954817071,tvm
320,8,300,10,256,16,1,1,[320; 8; 300; 10; 256; 16; 1; 1],0.011817300182883628,0.38684204519488335,tvm
16,16,12,2,320,16,1,1,[16; 16; 12; 2; 320; 16; 1; 1],0.05215298046823591,0.08765421516442053,tvm
5,5,1500,2,160,80,5,0,[5; 5; 1500; 2; 160; 80; 5; 0],0.02927087273565121,0.15617670893224456,tvm
16,16,100,4,640,80,5,1,[16; 16; 100; 4; 640; 80; 5; 1],0.035783738509053364,0.1277515643110345,tvm
40,4,15,15,1280,16,1,0,[40; 4; 15; 15; 1280; 16; 1; 0],0.05826059199171141,0.07846519259672023,tvm
256,4,12,12,640,32,2,0,[256; 4; 12; 12; 640; 32; 2; 0],0.023078757993062027,0.1980794881944185,tvm
64,64,250,2,640,80,5,0,[64; 64; 250; 2; 640; 80; 5; 0],0.035502845741575584,0.12876231400445748,tvm
128,16,75,5,32,32,2,0,[128; 16; 75; 5; 32; 32; 2; 0],0.0071703668727423064,0.63754458489517,tvm
16,16,375,3,320,32,2,0,[16; 16; 375; 3; 320; 32; 2; 0],0.0317635435203556,0.1439206103846374,tvm
2,2,300,2,1280,80,5,1,[2; 2; 300; 2; 1280; 80; 5; 1],0.24148133106064051,0.01893077428118284,tvm
40,5,150,5,640,64,4,1,[40; 5; 150; 5; 640; 64; 4; 1],0.026947700505843386,0.16964076658182003,tvm
320,2,750,15,256,16,1,0,[320; 2; 750; 15; 256; 16; 1; 0],0.012861752868047915,0.3554281145290267,tvm
32,2,1500,6,64,32,2,0,[32; 2; 1500; 6; 64; 32; 2; 0],0.021206656005233526,0.21556574361843767,tvm
16,2,1,1,160,160,10,1,[16; 2; 1; 1; 160; 160; 10; 1],0.030768357479246333,0.14857564543417898,tvm
16,8,750,6,320,32,2,0,[16; 8; 750; 6; 320; 32; 2; 0],0.01954786512942519,0.23385820094222207,tvm
32,16,375,15,256,16,1,0,[32; 16; 375; 15; 256; 16; 1; 0],0.015665323997382075,0.29181832256980644,tvm
10,5,150,5,64,16,1,1,[10; 5; 150; 5; 64; 16; 1; 1],0.014745275635505095,0.3100266610426085,tvm
32,32,300,5,160,80,5,1,[32; 32; 300; 5; 160; 80; 5; 1],0.01220522456424078,0.3745468628919844,tvm
80,4,300,25,320,16,1,1,[80; 4; 300; 25; 320; 16; 1; 1],0.02945460597402416,0.15520250297899374,tvm
128,32,12,4,320,64,4,0,[128; 32; 12; 4; 320; 64; 4; 0],0.01170891581568867,0.3904228746186181,tvm
5,5,300,2,160,160,10,0,[5; 5; 300; 2; 160; 160; 10; 0],0.05724602553527802,0.07985582455172222,tvm
64,1,750,10,160,32,2,1,[64; 1; 750; 10; 160; 32; 2; 1],0.013322877130121924,0.34312622767442247,tvm
20,4,20,1,640,160,10,0,[20; 4; 20; 1; 640; 160; 10; 0],0.03869187523378059,0.1181495738784304,tvm
40,8,100,20,160,16,1,1,[40; 8; 100; 20; 160; 16; 1; 1],0.008104196247586515,0.5640816722312191,tvm
5,5,30,2,160,16,1,1,[5; 5; 30; 2; 160; 16; 1; 1],0.015320385253289714,0.2983886172475303,tvm
20,1,300,12,320,32,2,0,[20; 1; 300; 12; 320; 32; 2; 0],0.033764423249522224,0.1353918749817016,tvm
10,2,20,1,640,160,10,0,[10; 2; 20; 1; 640; 160; 10; 0],0.05633510596817359,0.08114706616530004,tvm
10,2,20,4,640,32,2,1,[10; 2; 20; 4; 640; 32; 2; 1],0.03974755125818774,0.11501157748647187,tvm
16,2,150,30,80,16,1,0,[16; 2; 150; 30; 80; 16; 1; 0],0.012977086880709976,0.3522692429703814,tvm
4,2,30,10,256,32,2,0,[4; 2; 30; 10; 256; 32; 2; 0],0.042205578996799886,0.10831337183587002,tvm
160,20,25,25,32,16,1,0,[160; 20; 25; 25; 32; 16; 1; 0],0.042458330251974985,0.10766859045795678,tvm
128,64,10,2,640,64,4,1,[128; 64; 10; 2; 640; 64; 4; 1],0.03595444350503385,0.12714502369612654,tvm
