kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
320,20,50,1,160,16,1,[320; 20; 50; 1; 160; 16; 1],0.03444939199835062,0.1326998331827582,tvm
40,8,2,1,128,16,1,[40; 8; 2; 1; 128; 16; 1],0.04197401599958539,0.10891091697000657,tvm
10,1,10,1,640,16,1,[10; 1; 10; 1; 640; 16; 1],0.04433798851096071,0.10310410383859604,tvm
32,8,25,1,16,16,0,[32; 8; 25; 1; 16; 16; 0],0.028618536511203274,0.15973662977626402,tvm
64,1,20,1,256,128,1,[64; 1; 20; 1; 256; 128; 1],0.02253942913375795,0.20281918163498702,tvm
40,4,20,1,640,16,1,[40; 4; 20; 1; 640; 16; 1],0.07582327700220048,0.06029056975862311,tvm
256,4,250,1,16,16,0,[256; 4; 250; 1; 16; 16; 0],0.0507167789619416,0.09013641372727987,tvm
160,32,150,1,128,128,1,[160; 32; 150; 1; 128; 128; 1],0.022010434739058837,0.20769369735874854,tvm
640,32,375,1,64,64,0,[640; 32; 375; 1; 64; 64; 0],0.019700928241945803,0.23204127822238416,tvm
40,2,750,1,320,64,0,[40; 2; 750; 1; 320; 64; 0],0.030946166487410665,0.14772196657341363,tvm
20,1,150,1,1280,128,1,[20; 1; 150; 1; 1280; 128; 1],0.07425005902769044,0.061568012622370126,tvm
256,32,25,1,640,64,1,[256; 32; 25; 1; 640; 64; 1],0.05257764499401674,0.08694624059234289,tvm
1280,5,4,1,80,16,0,[1280; 5; 4; 1; 80; 16; 0],0.05387153499759734,0.08485796017567454,tvm
80,4,300,1,128,128,1,[80; 4; 300; 1; 128; 128; 1],0.039353827509330586,0.11616223530848963,tvm
64,1,30,1,256,64,1,[64; 1; 30; 1; 256; 64; 1],0.022869183871080168,0.19989469660128506,tvm
64,2,250,1,256,16,0,[64; 2; 250; 1; 256; 16; 0],0.08634438453009352,0.05294413291967234,tvm
128,8,2,1,640,128,0,[128; 8; 2; 1; 640; 128; 0],0.061928275506943464,0.07381811513411218,tvm
20,4,30,1,256,16,1,[20; 4; 30; 1; 256; 16; 1],0.02165275988227222,0.21112452159834555,tvm
32,8,2,1,320,64,0,[32; 8; 2; 1; 320; 64; 0],0.02396288725140039,0.19077119228032163,tvm
40,1,30,1,32,16,1,[40; 1; 30; 1; 32; 16; 1],0.053613615047652274,0.08526618783988814,tvm
80,16,10,1,1280,64,0,[80; 16; 10; 1; 1280; 64; 0],0.11462364997714758,0.03988207121601845,tvm
640,2,15,1,320,16,1,[640; 2; 15; 1; 320; 16; 1],0.07308989850571379,0.06254528553041021,tvm
16,1,2,1,640,64,0,[16; 1; 2; 1; 640; 64; 0],0.08095512597355992,0.056468673434238226,tvm
8,1,20,1,320,16,0,[8; 1; 20; 1; 320; 16; 0],0.047576087730703875,0.09608668533874294,tvm
1280,2,30,1,256,16,0,[1280; 2; 30; 1; 256; 16; 0],0.08982521999860182,0.05089248399836625,tvm
320,2,1,1,64,64,0,[320; 2; 1; 1; 64; 64; 0],0.017613651129067875,0.25953895293658485,tvm
32,8,60,1,256,16,0,[32; 8; 60; 1; 256; 16; 0],0.03616564400726929,0.12640252087062834,tvm
128,16,1,1,80,16,0,[128; 16; 1; 1; 80; 16; 0],0.06380102201364934,0.0716513376611832,tvm
160,4,150,1,128,16,0,[160; 4; 150; 1; 128; 16; 0],0.10657784796785563,0.04289285868117112,tvm
64,8,4,1,64,16,1,[64; 8; 4; 1; 64; 16; 1],0.07081850047688931,0.06455133249990795,tvm
640,1,1,1,320,16,1,[640; 1; 1; 1; 320; 16; 1],0.08341650199145079,0.05480244870370001,tvm
320,16,5,1,256,16,0,[320; 16; 5; 1; 256; 16; 0],0.05580340849701315,0.08192023918526868,tvm
160,4,50,1,64,64,1,[160; 4; 50; 1; 64; 64; 1],0.017404862752300687,0.26265237689531856,tvm
80,20,2,1,640,16,0,[80; 20; 2; 1; 640; 16; 0],0.1170499149011448,0.0390553771464883,tvm
128,2,6,1,1280,16,1,[128; 2; 6; 1; 1280; 16; 1],0.24318098707590252,0.018798462110040375,tvm
10,5,75,1,256,64,0,[10; 5; 75; 1; 256; 64; 0],0.02380038499541115,0.19207372369438433,tvm
80,1,100,1,256,64,0,[80; 1; 100; 1; 256; 64; 0],0.023222852745675482,0.19685043097385418,tvm
640,32,300,1,128,128,0,[640; 32; 300; 1; 128; 128; 0],0.04323884175391868,0.10572504687904295,tvm
40,40,60,1,256,128,1,[40; 40; 60; 1; 256; 128; 1],0.012428615751559846,0.3678147802465321,tvm
320,32,50,1,128,128,0,[320; 32; 50; 1; 128; 128; 0],0.044277806009631604,0.1032442431866241,tvm
5,1,10,1,80,16,0,[5; 1; 10; 1; 80; 16; 0],0.021862207620870322,0.20910187345693984,tvm
160,20,2,1,320,16,0,[160; 20; 2; 1; 320; 16; 0],0.06491441751131788,0.0704223922309946,tvm
1280,5,3,1,128,16,0,[1280; 5; 3; 1; 128; 16; 0],0.08238133002305403,0.05549107510341577,tvm
32,4,5,1,256,128,0,[32; 4; 5; 1; 256; 128; 0],0.018536152623710223,0.24662229882489758,tvm
32,2,12,1,1280,128,0,[32; 2; 12; 1; 1280; 128; 0],0.0780030264868401,0.0586057846383668,tvm
2,2,10,1,1280,16,0,[2; 2; 10; 1; 1280; 16; 0],0.24984204198699445,0.018297275090581183,tvm
1,1,12,1,1280,16,0,[1; 1; 12; 1; 1280; 16; 0],0.49420912202913314,0.009249988249223556,tvm
5,5,100,1,64,16,0,[5; 5; 100; 1; 64; 16; 0],0.025732625770615414,0.17765107269576721,tvm
1280,4,125,1,80,16,1,[1280; 4; 125; 1; 80; 16; 1],0.05547318101162091,0.08240790392876365,tvm
160,1,15,1,256,64,0,[160; 1; 15; 1; 256; 64; 0],0.038729458494344726,0.11803492093998917,tvm
1,1,30,1,1280,16,0,[1; 1; 30; 1; 1280; 16; 0],0.49867974093649536,0.009167062938718265,tvm
160,5,30,1,160,16,0,[160; 5; 30; 1; 160; 16; 0],0.03468907074420713,0.1317829642984015,tvm
320,32,25,1,160,16,0,[320; 32; 25; 1; 160; 16; 0],0.06369918852578849,0.07176588394964935,tvm
1280,16,20,1,320,16,0,[1280; 16; 20; 1; 320; 16; 0],0.11236257990822196,0.04068461738029268,tvm
1280,2,12,1,128,128,0,[1280; 2; 12; 1; 128; 128; 0],0.12167617701925337,0.037570448738747056,tvm
16,4,60,1,320,16,1,[16; 4; 60; 1; 320; 16; 1],0.03320159000577405,0.1376870375977042,tvm
320,1,100,1,128,128,0,[320; 1; 100; 1; 128; 128; 0],0.023588483381900005,0.19379917298694735,tvm
256,4,10,1,640,64,1,[256; 4; 10; 1; 640; 64; 1],0.06683314649853855,0.06840061871886483,tvm
16,1,150,1,128,16,0,[16; 1; 150; 1; 128; 16; 0],0.031609668221790344,0.1446212133374189,tvm
10,2,300,1,320,64,1,[10; 2; 300; 1; 320; 64; 1],0.022559744626050815,0.2026365389858946,tvm
128,64,20,1,256,16,1,[128; 64; 20; 1; 256; 16; 1],0.055444117984734476,0.08245110099302565,tvm
80,1,1500,1,320,16,0,[80; 1; 1500; 1; 320; 16; 0],0.06598505249712616,0.06927975955808584,tvm
