i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
16,8,2,32,32,32,1792,4,2,0,[16; 8; 2; 32; 32; 32; 1792; 4; 2; 0],0.7850442540366203,0.0712368163269489,tvm
8,1,1,64,64,64,112,1,4,1,[8; 1; 1; 64; 64; 64; 112; 1; 4; 1],2.20894658297766,0.02531706912439128,tvm
8,8,1,2048,2048,64,1792,14,4,1,[8; 8; 1; 2048; 2048; 64; 1792; 14; 4; 1],1.3033131150295958,0.042909146457920364,tvm
32,4,1,4096,2048,32,14336,14,2,1,[32; 4; 1; 4096; 2048; 32; 14336; 14; 2; 1],2.2114261119859293,0.025288682732931916,tvm
4,4,2,512,128,16,896,14,1,1,[4; 4; 2; 512; 128; 16; 896; 14; 1; 1],1.1354071969399229,0.049254622908905525,tvm
2,2,1,32,32,32,128,64,2,1,[2; 2; 1; 32; 32; 32; 128; 64; 2; 1],1.5678602700354531,0.03566902893206724,tvm
32,16,4,2048,256,32,1792,64,2,1,[32; 16; 4; 2048; 256; 32; 1792; 64; 2; 1],0.4695534249767661,0.1191005120154336,tvm
8,4,1,1024,512,128,896,8,8,0,[8; 4; 1; 1024; 512; 128; 896; 8; 8; 0],1.479003093088977,0.037811992141634373,tvm
64,32,1,2048,16,16,1792,14,1,1,[64; 32; 1; 2048; 16; 16; 1792; 14; 1; 1],1.492857167031616,0.03746108775063339,tvm
4,1,1,512,32,32,896,8,2,1,[4; 1; 1; 512; 32; 32; 896; 8; 2; 1],2.1809506349964067,0.025642053715454898,tvm
4,1,1,4096,64,32,1024,1,2,0,[4; 1; 1; 4096; 64; 32; 1024; 1; 2; 0],2.3539134489838034,0.02375790552429871,tvm
2,1,1,64,32,32,2048,4,2,0,[2; 1; 1; 64; 32; 32; 2048; 4; 2; 0],2.222067125956528,0.025167580528990475,tvm
64,8,4,1024,256,16,14336,8,1,1,[64; 8; 4; 1024; 256; 16; 14336; 8; 1; 1],0.5815658429637551,0.09616117247934501,tvm
32,4,2,2048,64,32,8,8,2,0,[32; 4; 2; 2048; 64; 32; 8; 8; 2; 0],0.621097948984243,0.09004063437142683,tvm
16,16,2,512,64,64,224,16,4,0,[16; 16; 2; 512; 64; 64; 224; 16; 4; 0],0.5096063630189747,0.10973970772663029,tvm
32,32,1,512,128,16,1792,2,1,0,[32; 32; 1; 512; 128; 16; 1792; 2; 1; 0],1.1448848920408636,0.04884687860073297,tvm
32,16,1,2048,128,16,14336,56,1,1,[32; 16; 1; 2048; 128; 16; 14336; 56; 1; 1],2.6991417529061437,0.020719198342628864,tvm
64,32,1,4096,512,16,224,1,1,0,[64; 32; 1; 4096; 512; 16; 224; 1; 1; 0],1.0057885210262612,0.05560219883626327,tvm
32,4,1,256,128,64,28,2,4,1,[32; 4; 1; 256; 128; 64; 28; 2; 4; 1],0.8366989149944857,0.06683892178072431,tvm
32,16,2,4096,4096,64,14336,4,4,0,[32; 16; 2; 4096; 4096; 64; 14336; 4; 4; 0],1.0005734869046137,0.0558920000032588,tvm
16,8,8,512,32,16,128,8,1,1,[16; 8; 8; 512; 32; 16; 128; 8; 1; 1],0.3925173010211438,0.14247538436610432,tvm
8,1,1,512,512,128,8,2,8,1,[8; 1; 1; 512; 512; 128; 8; 2; 8; 1],1.1903977119363844,0.046979301768283264,tvm
32,32,8,32,32,32,256,4,2,0,[32; 32; 8; 32; 32; 32; 256; 4; 2; 0],0.24446616496425122,0.22875989133920116,tvm
8,8,4,4096,4096,16,4,4,1,1,[8; 8; 4; 4096; 4096; 16; 4; 4; 1; 1],0.22474775509908795,0.24883030893312927,tvm
64,8,4,1024,1024,32,7168,28,2,1,[64; 8; 4; 1024; 1024; 32; 7168; 28; 2; 1],0.5119356110226363,0.10924040470953003,tvm
8,4,1,128,32,32,7168,1,2,1,[8; 4; 1; 128; 32; 32; 7168; 1; 2; 1],2.313998671947047,0.02416771194007543,tvm
2,2,2,4096,256,16,3584,4,1,1,[2; 2; 2; 4096; 256; 16; 3584; 4; 1; 1],1.2626641070237383,0.04429052273066787,tvm
2,2,2,256,64,16,112,56,1,1,[2; 2; 2; 256; 64; 16; 112; 56; 1; 1],1.2868646529968828,0.04345760309998102,tvm
2,1,1,4096,128,128,28,14,8,0,[2; 1; 1; 4096; 128; 128; 28; 14; 8; 0],1.9333208159077913,0.028926421767757247,tvm
16,8,2,1024,128,64,7168,56,4,0,[16; 8; 2; 1024; 128; 64; 7168; 56; 4; 0],1.0333724599331617,0.05411800246442651,tvm
2,2,2,16,16,16,56,8,1,0,[2; 2; 2; 16; 16; 16; 56; 8; 1; 0],1.2409356239950284,0.04506603908532598,tvm
64,4,4,256,128,64,112,56,4,0,[64; 4; 4; 256; 128; 64; 112; 56; 4; 0],0.491528686019592,0.11377576716062558,tvm
4,2,1,128,64,16,3584,2,1,1,[4; 2; 1; 128; 64; 16; 3584; 2; 1; 1],2.739958298043348,0.020410549085097273,tvm
4,1,1,2048,256,128,7168,14,8,0,[4; 1; 1; 2048; 256; 128; 7168; 14; 8; 0],1.936400015023537,0.02888042393072052,tvm
2,1,1,2048,1024,64,7168,14,4,0,[2; 1; 1; 2048; 1024; 64; 7168; 14; 4; 0],2.0879696069750935,0.026783940315277026,tvm
64,64,2,4096,1024,16,14336,7,1,1,[64; 64; 2; 4096; 1024; 16; 14336; 7; 1; 1],1.2452620879048482,0.04490946434210125,tvm
