i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
64,32,2,512,32,16,16,8,1,1,[64; 32; 2; 512; 32; 16; 16; 8; 1; 1],0.20413328101858497,0.2739585287332046,tvm
32,2,1,1792,448,64,32,32,4,1,[32; 2; 1; 1792; 448; 64; 32; 32; 4; 1],0.6048525020014495,0.09245899314011488,tvm
64,4,2,896,16,16,4096,16,1,0,[64; 4; 2; 896; 16; 16; 4096; 16; 1; 0],0.7510638340609148,0.07445978730057934,tvm
32,16,8,1792,256,16,32,4,1,0,[32; 16; 8; 1792; 256; 16; 32; 4; 1; 0],0.2254478430841118,0.24805761087928777,tvm
8,8,2,14336,64,64,2048,1,4,0,[8; 8; 2; 14336; 64; 64; 2048; 1; 4; 0],0.7944382909918204,0.07039445853436228,tvm
1,1,1,224,32,16,4,4,1,0,[1; 1; 1; 224; 32; 16; 4; 4; 1; 0],2.3121802360983565,0.024186718863967668,tvm
4,4,1,896,112,16,1024,32,1,1,[4; 4; 1; 896; 112; 16; 1024; 32; 1; 1],1.6373327780747786,0.03415558161554085,tvm
8,8,2,3584,32,32,64,8,2,0,[8; 8; 2; 3584; 32; 32; 64; 8; 2; 0],0.4476593310246244,0.12492547224544978,tvm
8,4,4,3584,1792,32,4096,64,2,0,[8; 4; 4; 3584; 1792; 32; 4096; 64; 2; 0],0.5646921730367467,0.09903458203181814,tvm
4,4,2,512,128,32,128,8,2,0,[4; 4; 2; 512; 128; 32; 128; 8; 2; 0],0.7435609110398218,0.07521112595217945,tvm
16,8,2,256,32,16,64,8,1,1,[16; 8; 2; 256; 32; 16; 64; 8; 1; 1],0.5042638150043786,0.11090237226886435,tvm
32,32,2,896,112,16,128,64,1,1,[32; 32; 2; 896; 112; 16; 128; 64; 1; 1],0.32750371505972,0.17075853116089276,tvm
64,64,1,3584,896,16,2,2,1,1,[64; 64; 1; 3584; 896; 16; 2; 2; 1; 1],0.214305529021658,0.26095478538811556,tvm
8,2,1,7168,448,112,1,1,7,0,[8; 2; 1; 7168; 448; 112; 1; 1; 7; 0],0.8452161019667983,0.0661653903696337,tvm
2,2,1,1024,512,128,1,1,8,0,[2; 2; 1; 1024; 512; 128; 1; 1; 8; 0],0.9232557670911774,0.06057265529954765,tvm
8,8,2,448,224,32,32,4,2,0,[8; 8; 2; 448; 224; 32; 32; 4; 2; 0],0.36000644508749247,0.1553418115049082,tvm
4,2,1,1792,64,64,512,8,4,1,[4; 2; 1; 1792; 64; 64; 512; 8; 4; 1],1.4379606690490618,0.03889122598208231,tvm
64,16,2,14336,64,16,128,32,1,1,[64; 16; 2; 14336; 64; 16; 128; 32; 1; 1],0.40857540897559375,0.1368757201358488,tvm
16,1,1,3584,1792,128,2048,1,8,0,[16; 1; 1; 3584; 1792; 128; 2048; 1; 8; 0],1.9714510909980163,0.028366949395139524,tvm
64,64,2,896,128,16,16,2,1,1,[64; 64; 2; 896; 128; 16; 16; 2; 1; 1],0.16517979791387916,0.33856472788815745,tvm
4,1,1,3584,256,128,128,4,8,1,[4; 1; 1; 3584; 256; 128; 128; 4; 8; 1],1.9811823650961742,0.02822761514466568,tvm
32,32,4,448,16,16,64,64,1,1,[32; 32; 4; 448; 16; 16; 64; 64; 1; 1],0.19396579696331173,0.28831914806047615,tvm
16,16,1,128,32,32,256,64,2,0,[16; 16; 1; 128; 32; 32; 256; 64; 2; 0],0.9629153589485213,0.058077849536433766,tvm
16,2,2,448,32,16,256,4,1,0,[16; 2; 2; 448; 32; 16; 256; 4; 1; 0],0.9726389709394425,0.05749723690314196,tvm
8,8,2,448,448,112,2048,1,7,1,[8; 8; 2; 448; 448; 112; 2048; 1; 7; 1],0.7989693919662386,0.06999523873587446,tvm
16,8,1,7168,224,16,1024,32,1,0,[16; 8; 1; 7168; 224; 16; 1024; 32; 1; 0],1.3795548370108008,0.04053775307294689,tvm
4,4,1,1024,64,64,2048,8,4,0,[4; 4; 1; 1024; 64; 64; 2048; 8; 4; 0],1.6471638520015404,0.033951724514460165,tvm
2,1,1,7168,3584,64,64,32,4,1,[2; 1; 1; 7168; 3584; 64; 64; 32; 4; 1],2.2621987810125574,0.024721104883763483,tvm
32,16,16,896,896,16,4,4,1,1,[32; 16; 16; 896; 896; 16; 4; 4; 1; 1],0.18119547597598284,0.30863934671716625,tvm
8,2,1,1792,128,64,16,1,4,0,[8; 2; 1; 1792; 128; 64; 16; 1; 4; 0],1.0952300280332565,0.05106146827781753,tvm
32,2,1,2048,128,64,128,32,4,1,[32; 2; 1; 2048; 128; 64; 128; 32; 4; 1],0.6932317330501974,0.08067151382016126,tvm
8,8,1,512,512,16,128,16,1,0,[8; 8; 1; 512; 512; 16; 128; 16; 1; 0],0.8406838810769841,0.06652209539415707,tvm
16,4,1,7168,224,32,32,16,2,0,[16; 4; 1; 7168; 224; 32; 32; 16; 2; 0],0.6664200369268656,0.08391712468793996,tvm
64,32,16,112,112,16,32,16,1,1,[64; 32; 16; 112; 112; 16; 32; 16; 1; 1],0.22062225500121713,0.2534832822419697,tvm
16,16,4,128,64,64,2048,4,4,1,[16; 16; 4; 128; 64; 64; 2048; 4; 4; 1],0.41910536808427423,0.13343673832898284,tvm
2,2,1,224,224,112,2,1,7,0,[2; 2; 1; 224; 224; 112; 2; 1; 7; 0],0.9242475779028609,0.06050765473492103,tvm
64,16,1,128,64,16,2048,32,1,0,[64; 16; 1; 128; 64; 16; 2048; 32; 1; 0],1.2253017330076545,0.04564104646784497,tvm
64,2,2,256,64,16,256,1,1,0,[64; 2; 2; 256; 64; 16; 256; 1; 1; 0],0.9104077980155125,0.06142747618730353,tvm
32,32,1,512,512,64,4096,8,4,0,[32; 32; 1; 512; 512; 64; 4096; 8; 4; 0],0.9772222579922527,0.057227568115601285,tvm
32,32,1,3584,32,16,1024,64,1,1,[32; 32; 1; 3584; 32; 16; 1024; 64; 1; 1],1.0153432530350983,0.05507896286912162,tvm
4,4,4,3584,896,64,32,16,4,0,[4; 4; 4; 3584; 896; 64; 32; 16; 4; 0],0.40019290102645755,0.13974274203738582,tvm
64,8,1,7168,1024,128,64,4,8,1,[64; 8; 1; 7168; 1024; 128; 64; 4; 8; 1],0.43487336998805404,0.12859847760940057,tvm
1,1,1,896,896,128,1024,32,8,1,[1; 1; 1; 896; 896; 128; 1024; 32; 8; 1],2.0864224459510297,0.0268038016183449,tvm
32,32,4,512,64,64,256,2,4,0,[32; 32; 4; 512; 64; 64; 256; 2; 4; 0],0.2730203680694103,0.20483472983640433,tvm
8,2,1,1792,448,16,128,2,1,1,[8; 2; 1; 1792; 448; 16; 128; 2; 1; 1],1.2984862690791488,0.043068652064371195,tvm
4,2,1,256,128,128,128,64,8,0,[4; 2; 1; 256; 128; 128; 128; 64; 8; 0],1.152207478065975,0.04853644365093345,tvm
64,8,2,7168,448,112,64,2,7,1,[64; 8; 2; 7168; 448; 112; 64; 2; 7; 1],0.3313645670423284,0.16876895991776214,tvm
16,2,1,7168,224,16,2048,1,1,0,[16; 2; 1; 7168; 224; 16; 2048; 1; 1; 0],2.4404161300044507,0.022915785814459168,tvm
8,8,1,3584,112,112,2048,64,7,1,[8; 8; 1; 3584; 112; 112; 2048; 64; 7; 1],1.2525486160302535,0.04464820975218943,tvm
16,8,1,896,448,224,64,64,14,1,[16; 8; 1; 896; 448; 224; 64; 64; 14; 1],0.35728822904638946,0.15652363774366684,tvm
8,8,4,7168,7168,32,1024,16,2,0,[8; 8; 4; 7168; 7168; 32; 1024; 16; 2; 0],0.5944806850748137,0.09407211157128756,tvm
32,32,8,3584,128,16,512,2,1,1,[32; 32; 8; 3584; 128; 16; 512; 2; 1; 1],0.302041869959794,0.18515331447516734,tvm
32,32,16,128,16,16,32,1,1,1,[32; 32; 16; 128; 16; 16; 32; 1; 1; 1],0.2719888479914516,0.20561156733562466,tvm
64,4,2,256,64,32,2048,32,2,0,[64; 4; 2; 256; 64; 32; 2048; 32; 2; 0],0.5712704829638824,0.09789417622837174,tvm
64,64,1,14336,896,112,4096,2,7,0,[64; 64; 1; 14336; 896; 112; 4096; 2; 7; 0],0.918480258085765,0.060887594307020274,tvm
16,16,8,7168,1024,16,4096,1,1,0,[16; 16; 8; 7168; 1024; 16; 4096; 1; 1; 0],0.5015542471082881,0.11150150488359646,tvm
32,1,1,896,128,64,2048,32,4,1,[32; 1; 1; 896; 128; 64; 2048; 32; 4; 1],1.0335338769946247,0.054109550328386755,tvm
16,16,2,64,64,32,1024,8,2,1,[16; 16; 2; 64; 64; 32; 1024; 8; 2; 1],0.5525855370797217,0.10120433775534221,tvm
2,2,2,14336,1792,128,128,8,8,1,[2; 2; 2; 14336; 1792; 128; 128; 8; 8; 1],1.0548415340017527,0.05301654469479812,tvm
16,8,1,1792,448,16,1024,16,1,0,[16; 8; 1; 1792; 448; 16; 1024; 16; 1; 0],1.1902480659773573,0.04698520832076463,tvm
64,8,8,14336,7168,16,8,1,1,1,[64; 8; 8; 14336; 7168; 16; 8; 1; 1; 1],0.19007157697342336,0.29422628161365166,tvm
64,32,4,7168,32,32,512,4,2,0,[64; 32; 4; 7168; 32; 32; 512; 4; 2; 0],0.28394230199046433,0.19695569466507826,tvm
16,4,4,3584,128,16,4096,4,1,0,[16; 4; 4; 3584; 128; 16; 4096; 4; 1; 0],0.6763513151090592,0.08268491844998599,tvm
64,1,1,7168,3584,112,512,4,7,0,[64; 1; 1; 7168; 3584; 112; 512; 4; 7; 0],2.102102495962754,0.026603866101077227,tvm
32,16,4,3584,448,32,64,32,2,0,[32; 16; 4; 3584; 448; 32; 64; 32; 2; 0],0.22824315598700196,0.24501962870035898,tvm
32,32,8,7168,128,16,128,4,1,1,[32; 32; 8; 7168; 128; 16; 128; 4; 1; 1],0.24268909299280494,0.23043496781699754,tvm
32,32,16,3584,1792,16,128,1,1,1,[32; 32; 16; 3584; 1792; 16; 128; 1; 1; 1],0.32496435404755175,0.1720928853788992,tvm
64,32,16,256,32,16,128,2,1,1,[64; 32; 16; 256; 32; 16; 128; 2; 1; 1],0.2829286749474704,0.19766131285107952,tvm
