kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
16,16,16,2,14336,64,4,0,[16; 16; 16; 2; 14336; 64; 4; 0],0.18639971897937357,0.30002219767038235,tvm
2,1,8,8,32,32,2,1,[2; 1; 8; 8; 32; 32; 2; 1],0.22252433001995087,0.251316578858228,tvm
64,16,64,8,256,32,2,0,[64; 16; 64; 8; 256; 32; 2; 0],0.131099451915361,0.42657732367514717,tvm
16,1,8,2,7168,128,8,1,[16; 1; 8; 2; 7168; 128; 8; 1],0.15502819896209985,0.36073471605643326,tvm
2,1,4,4,64,16,1,1,[2; 1; 4; 4; 64; 16; 1; 1],0.16968537704087794,0.3295749716833937,tvm
128,4,64,8,256,32,2,0,[128; 4; 64; 8; 256; 32; 2; 0],0.17236559104640037,0.3244502165068359,tvm
2,1,1,1,1792,128,8,1,[2; 1; 1; 1; 1792; 128; 8; 1],0.2158500379882753,0.259087530651123,tvm
32,32,4,2,128,64,4,0,[32; 32; 4; 2; 128; 64; 4; 0],0.1724387580761686,0.32431254990035885,tvm
32,16,4,1,3584,128,8,1,[32; 16; 4; 1; 3584; 128; 8; 1],0.20167481596581638,0.27729814982358725,tvm
16,2,2,2,448,16,1,0,[16; 2; 2; 2; 448; 16; 1; 0],0.16790096298791468,0.33307762110547684,tvm
64,2,2,2,3584,128,8,0,[64; 2; 2; 2; 3584; 128; 8; 0],0.20501847798004746,0.2727756731214047,tvm
2,2,4,4,7168,32,2,1,[2; 2; 4; 4; 7168; 32; 2; 1],0.4161817959975451,0.1343740977408421,tvm
16,1,32,8,112,16,1,1,[16; 1; 32; 8; 112; 16; 1; 1],0.152084739995189,0.3677164016265038,tvm
128,4,32,16,112,16,1,0,[128; 4; 32; 16; 112; 16; 1; 0],0.2488926030928269,0.22469150403990076,tvm
4,4,2,1,1024,32,2,1,[4; 4; 2; 1; 1024; 32; 2; 1],0.12398995098192245,0.451036982355828,tvm
