i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
32,1,1,1024,256,128,128,4,8,0,[32; 1; 1; 1024; 256; 128; 128; 4; 8; 0],0.04946339025627822,0.08075821769188618,tvm
16,2,2,256,128,32,2048,4,2,0,[16; 2; 2; 256; 128; 32; 2048; 4; 2; 0],0.02468410112487618,0.16182785906956035,tvm
64,32,4,1024,512,32,1024,4,2,1,[64; 32; 4; 1024; 512; 32; 1024; 4; 2; 1],0.012403636625094805,0.3220487151335511,tvm
16,2,1,256,32,16,4096,1,1,1,[16; 2; 1; 256; 32; 16; 4096; 1; 1; 1],0.0659240935347043,0.06059355576868693,tvm
16,4,4,512,32,32,4,2,2,1,[16; 4; 4; 512; 32; 32; 4; 2; 2; 1],0.012410890689352527,0.32186048028947983,tvm
8,4,1,128,128,32,4,2,2,0,[8; 4; 1; 128; 128; 32; 4; 2; 2; 0],0.016839010000694543,0.23722150161621602,tvm
16,4,1,512,512,32,128,64,2,1,[16; 4; 1; 512; 512; 32; 128; 64; 2; 1],0.027568684745347127,0.14489538674018237,tvm
64,1,1,256,128,128,1024,8,8,0,[64; 1; 1; 256; 128; 128; 1024; 8; 8; 0],0.049062140489695594,0.0814186906283514,tvm
8,1,1,256,256,16,1024,32,1,1,[8; 1; 1; 256; 256; 16; 1024; 32; 1; 1],0.06633641000371426,0.06021693422769753,tvm
2,1,1,512,64,32,64,64,2,0,[2; 1; 1; 512; 64; 32; 64; 64; 2; 0],0.05048017849912867,0.07913155929439092,tvm
64,32,16,1024,256,16,8,8,1,1,[64; 32; 16; 1024; 256; 16; 8; 8; 1; 1],0.011239746439969167,0.35539727336644406,tvm
64,64,1,256,128,16,1024,32,1,1,[64; 64; 1; 256; 128; 16; 1024; 32; 1; 1],0.06644332245923579,0.060120040513416295,tvm
8,4,2,1024,512,16,2048,32,1,1,[8; 4; 2; 1024; 512; 16; 2048; 32; 1; 1],0.033414331497624516,0.11954676508728657,tvm
2,2,2,32,32,16,32,4,1,1,[2; 2; 2; 32; 32; 16; 32; 4; 1; 1],0.0248065177584067,0.16102926162385342,tvm
16,16,2,512,128,32,128,2,2,0,[16; 16; 2; 512; 128; 32; 128; 2; 2; 0],0.013341077996301465,0.29941922528319304,tvm
16,4,4,512,512,32,1024,64,2,0,[16; 4; 4; 512; 512; 32; 1024; 64; 2; 0],0.012777457741321996,0.3126267618304756,tvm
32,16,2,256,64,16,2048,1,1,0,[32; 16; 2; 256; 64; 16; 2048; 1; 1; 0],0.03303246575524099,0.12092876346845077,tvm
32,4,1,64,64,16,512,4,1,1,[32; 4; 1; 64; 64; 16; 512; 4; 1; 1],0.0655113949906081,0.06097527367060207,tvm
64,8,2,512,512,32,2,1,2,1,[64; 8; 2; 512; 512; 32; 2; 1; 2; 1],0.011809156254457776,0.3382608504809433,tvm
32,32,4,32,32,16,4,2,1,0,[32; 32; 4; 32; 32; 16; 4; 2; 1; 0],0.020865111117018387,0.19144758998369815,tvm
