kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
1,1,4,4,128,64,4,1,[1; 1; 4; 4; 128; 64; 4; 1],0.013662276120157912,0.29237992285937403,tvm
64,64,32,8,128,32,2,1,[64; 64; 32; 8; 128; 32; 2; 1],0.0074102808139286935,0.5390585510048225,tvm
16,1,64,16,512,16,1,1,[16; 1; 64; 16; 512; 16; 1; 1],0.012845371995354071,0.3109738853448542,tvm
128,128,16,8,1024,32,2,0,[128; 128; 16; 8; 1024; 32; 2; 0],0.009072776505490765,0.4402814547098957,tvm
2,1,1,1,64,32,2,0,[2; 1; 1; 1; 64; 32; 2; 0],0.03705716802505776,0.10779494092463132,tvm
128,128,64,4,512,64,4,1,[128; 128; 64; 4; 512; 64; 4; 1],0.0066851140654762276,0.5975328467055373,tvm
8,8,64,2,512,64,4,1,[8; 8; 64; 2; 512; 64; 4; 1],0.007082686555804685,0.5639915315497683,tvm
16,8,32,1,64,64,4,0,[16; 8; 32; 1; 64; 64; 4; 0],0.008152759561198764,0.48996603028826285,tvm
256,256,8,4,128,32,2,1,[256; 256; 8; 4; 128; 32; 2; 1],0.01195939262106549,0.3340115476315345,tvm
128,64,16,2,128,64,4,0,[128; 64; 16; 2; 128; 64; 4; 0],0.008520037808921188,0.46884477835445587,tvm
8,8,8,2,256,32,2,1,[8; 8; 8; 2; 256; 32; 2; 1],0.007443425623932853,0.536658178628329,tvm
256,4,32,8,32,32,2,0,[256; 4; 32; 8; 32; 32; 2; 0],0.008670832939969841,0.4606910622947756,tvm
2,1,32,8,512,32,2,0,[2; 1; 32; 8; 512; 32; 2; 0],0.03543495075427927,0.11272980921563258,tvm
16,1,8,8,16,16,1,0,[16; 1; 8; 8; 16; 16; 1; 0],0.012334135128185153,0.32386342427586173,tvm
2,2,64,1,128,32,2,0,[2; 2; 64; 1; 128; 32; 2; 0],0.04116641098516993,0.0970348189822589,tvm
32,2,4,4,1024,32,2,1,[32; 2; 4; 4; 1024; 32; 2; 1],0.006241376966499956,0.6400150575002552,tvm
128,1,4,4,64,64,4,1,[128; 1; 4; 4; 64; 64; 4; 1],0.005508501937583787,0.7251654412319934,tvm
8,4,4,4,1024,32,2,0,[8; 4; 4; 4; 1024; 32; 2; 0],0.008835105691105127,0.4521253483268271,tvm
128,64,16,16,16,16,1,0,[128; 64; 16; 16; 16; 16; 1; 0],0.010979932500049472,0.3638069030093983,tvm
4,2,16,2,128,128,8,1,[4; 2; 16; 2; 128; 128; 8; 1],0.008789875064394437,0.45445187887553185,tvm
64,4,2,1,256,128,8,0,[64; 4; 2; 1; 256; 128; 8; 0],0.01330641251115594,0.300199263681795,tvm
8,4,32,8,1024,16,1,0,[8; 4; 32; 8; 1024; 16; 1; 0],0.01487742512836121,0.2684990987103191,tvm
4,4,16,4,256,16,1,1,[4; 4; 16; 4; 256; 16; 1; 1],0.011275367251073476,0.3542745126740713,tvm
