kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
256,32,1,1,64,64,0,[256; 32; 1; 1; 64; 64; 0],0.01622427999973297,0.24620970780589235,tvm
64,4,4,1,512,64,0,[64; 4; 4; 1; 512; 64; 0],0.01469412750157062,0.2718484127532082,tvm
8,4,8,1,128,64,1,[8; 4; 8; 1; 128; 64; 1],0.007763567067740951,0.5145283351377787,tvm
2,1,4,1,512,16,0,[2; 1; 4; 1; 512; 16; 0],0.014826802755123936,0.26941582106869055,tvm
16,2,64,1,128,16,1,[16; 2; 64; 1; 128; 16; 1],0.01140811405639397,0.35015211264094753,tvm
32,1,4,1,512,16,0,[32; 1; 4; 1; 512; 16; 0],0.018599372619064525,0.21476935377921094,tvm
128,64,1,1,64,64,1,[128; 64; 1; 1; 64; 64; 1],0.014518080875859596,0.27514485366570357,tvm
2,1,16,1,256,64,1,[2; 1; 16; 1; 256; 64; 1],0.01565132824180182,0.2552227629746121,tvm
4,1,2,1,64,16,1,[4; 1; 2; 1; 64; 16; 1],0.0075912526226602495,0.5262076546064666,tvm
1024,2,32,1,64,64,0,[1024; 2; 32; 1; 64; 64; 0],0.050051380472723395,0.07980949177360193,tvm
4,2,8,1,16,16,1,[4; 2; 8; 1; 16; 16; 1],0.013218217762187123,0.30220225676129914,tvm
512,4,64,1,64,64,0,[512; 4; 64; 1; 64; 64; 0],0.050177415017969906,0.079609028019173,tvm
1024,4,8,1,512,64,1,[1024; 4; 8; 1; 512; 64; 1],0.04917417297838256,0.08123319613023877,tvm
2048,64,2,1,128,64,0,[2048; 64; 2; 1; 128; 64; 0],0.05004262598231435,0.07982345369939156,tvm
1024,64,4,1,256,128,0,[1024; 64; 4; 1; 256; 128; 0],0.04925367975374684,0.08110206705502775,tvm
2,2,2,1,64,64,1,[2; 2; 2; 1; 64; 64; 1],0.009463511494686827,0.42210285688752464,tvm
4096,16,2,1,64,64,0,[4096; 16; 2; 1; 64; 64; 0],0.05012883699964732,0.07968617420993314,tvm
64,2,8,1,256,64,1,[64; 2; 8; 1; 256; 64; 1],0.01462503986840602,0.2731326050416166,tvm
2048,32,8,1,256,64,0,[2048; 32; 8; 1; 256; 64; 0],0.049605157488258556,0.08052741771943263,tvm
2048,4,32,1,512,16,0,[2048; 4; 32; 1; 512; 16; 0],0.06607345049269497,0.06045658594047355,tvm
2048,8,64,1,128,64,1,[2048; 8; 64; 1; 128; 64; 1],0.04967506800312549,0.08041408695895302,tvm
1024,64,8,1,256,128,0,[1024; 64; 8; 1; 256; 128; 0],0.049613945244345814,0.08051315448554204,tvm
8,8,8,1,512,16,0,[8; 8; 8; 1; 512; 16; 0],0.011312982314848341,0.3530965687847262,tvm
4096,1,64,1,512,16,0,[4096; 1; 64; 1; 512; 16; 0],0.0660997040104121,0.060432573759574,tvm
8,2,16,1,512,64,0,[8; 2; 16; 1; 512; 64; 0],0.008173938374966383,0.48869651994552343,tvm
16,1,1,1,256,128,1,[16; 1; 1; 1; 256; 128; 1],0.014431999137741514,0.27678599478632976,tvm
32,1,2,1,64,16,0,[32; 1; 2; 1; 64; 16; 0],0.025837360764853656,0.15460461594548872,tvm
1024,32,64,1,16,16,0,[1024; 32; 64; 1; 16; 16; 0],0.06714078900404274,0.059495506343464524,tvm
32,8,32,1,512,64,0,[32; 8; 32; 1; 512; 64; 0],0.015830471864319406,0.2523345654085451,tvm
2048,2,4,1,1024,64,0,[2048; 2; 4; 1; 1024; 64; 0],0.04993084026500583,0.08000216333020231,tvm
512,2,32,1,64,16,1,[512; 2; 32; 1; 64; 16; 1],0.06649934750748798,0.06006938996875781,tvm
64,2,16,1,64,16,0,[64; 2; 16; 1; 64; 16; 0],0.034715903748292476,0.11506470541737557,tvm
32,8,8,1,512,128,0,[32; 8; 8; 1; 512; 128; 0],0.013832274751621298,0.2887865741408172,tvm
128,4,32,1,1024,16,0,[128; 4; 32; 1; 1024; 16; 0],0.032866319990716875,0.12154008234641146,tvm
64,32,4,1,128,16,0,[64; 32; 4; 1; 128; 16; 0],0.0271944839914795,0.1468891720595547,tvm
4096,16,32,1,256,16,1,[4096; 16; 32; 1; 256; 16; 1],0.0664189420058392,0.06014210882407697,tvm
2048,16,4,1,64,64,1,[2048; 16; 4; 1; 64; 64; 1],0.04899259400554001,0.0815342669474398,tvm
4,2,8,1,256,64,1,[4; 2; 8; 1; 256; 64; 1],0.008635069061710965,0.4625991071464282,tvm
128,32,16,1,16,16,1,[128; 32; 16; 1; 16; 16; 1],0.03319588798331097,0.1203334352767875,tvm
2048,64,32,1,64,16,1,[2048; 64; 32; 1; 64; 16; 1],0.06638343899976462,0.06017427385931907,tvm
4096,8,64,1,128,128,0,[4096; 8; 64; 1; 128; 128; 0],0.04909670274355449,0.08136137489639575,tvm
256,8,16,1,64,64,0,[256; 8; 16; 1; 64; 64; 0],0.016438378239399754,0.24300300065617056,tvm
16,4,32,1,512,16,0,[16; 4; 32; 1; 512; 16; 0],0.012284037060453556,0.32518423857211554,tvm
1024,2,4,1,256,128,1,[1024; 2; 4; 1; 256; 128; 1],0.04911522724432871,0.08133068830617063,tvm
64,1,1,1,128,64,0,[64; 1; 1; 1; 128; 64; 0],0.014760287362150848,0.27062990984432667,tvm
64,64,4,1,256,64,0,[64; 64; 4; 1; 256; 64; 0],0.012971267497050576,0.30795565961487803,tvm
1024,8,16,1,1024,64,0,[1024; 8; 16; 1; 1024; 64; 0],0.04997648624703288,0.07992909342105653,tvm
128,2,16,1,256,16,1,[128; 2; 16; 1; 256; 16; 1],0.03231383248930797,0.12361812048809026,tvm
4096,64,8,1,256,16,1,[4096; 64; 8; 1; 256; 16; 1],0.11486962297931314,0.0347748615734085,tvm
64,8,8,1,512,64,0,[64; 8; 8; 1; 512; 64; 0],0.01510663474618923,0.2644252214480066,tvm
32,4,1,1,512,64,1,[32; 4; 1; 1; 512; 64; 1],0.014421249128645286,0.27699231893586207,tvm
2048,1,2,1,32,16,0,[2048; 1; 2; 1; 32; 16; 0],0.10917253803927451,0.036589560981519005,tvm
4,1,4,1,16,16,1,[4; 1; 4; 1; 16; 16; 1],0.016779229496023618,0.23806666683007596,tvm
64,8,64,1,1024,64,0,[64; 8; 64; 1; 1024; 64; 0],0.015032746508950368,0.2657249116598156,tvm
128,64,8,1,16,16,0,[128; 64; 8; 1; 16; 16; 0],0.03808905300684273,0.1048746272945565,tvm
1024,32,2,1,256,64,1,[1024; 32; 2; 1; 256; 64; 1],0.04924633650807664,0.08111416038917145,tvm
4096,8,32,1,16,16,1,[4096; 8; 32; 1; 16; 16; 1],0.06601550499908626,0.060509652060535296,tvm
64,64,2,1,256,16,1,[64; 64; 2; 1; 256; 16; 1],0.03504996726405807,0.11396801623239942,tvm
2048,4,4,1,16,16,0,[2048; 4; 4; 1; 16; 16; 0],0.06618563795927912,0.06035410946031691,tvm
64,64,4,1,256,64,1,[64; 64; 4; 1; 256; 64; 1],0.016871575004188344,0.2367636238527577,tvm
64,16,64,1,512,16,1,[64; 16; 64; 1; 512; 16; 1],0.020313785134931095,0.19664357044056072,tvm
4096,4,2,1,128,64,0,[4096; 4; 2; 1; 128; 64; 0],0.04997155797900632,0.0799369761449785,tvm
128,4,64,1,16,16,1,[128; 4; 64; 1; 16; 16; 1],0.03205442175385542,0.12461853995587305,tvm
32,4,4,1,256,64,0,[32; 4; 4; 1; 256; 64; 0],0.015880840612226166,0.2515342440386902,tvm
2,1,1,1,512,16,1,[2; 1; 1; 1; 512; 16; 1],0.015229433876811527,0.262293087872256,tvm
2,1,2,1,1024,16,1,[2; 1; 2; 1; 1024; 16; 1],0.015488339136936702,0.25790855964465204,tvm
8,1,32,1,64,64,1,[8; 1; 32; 1; 64; 64; 1],0.006622809436521493,0.6031541865099043,tvm
8,4,4,1,1024,64,0,[8; 4; 4; 1; 1024; 64; 0],0.009120587063080166,0.43797347807414133,tvm
1,1,16,1,128,16,1,[1; 1; 16; 1; 128; 16; 1],0.014375630242284387,0.2778713121283281,tvm
8,4,8,1,128,64,0,[8; 4; 8; 1; 128; 64; 0],0.0077833720642956905,0.5132191041488781,tvm
4,1,2,1,128,64,0,[4; 1; 2; 1; 128; 64; 0],0.010115167686308268,0.3949094431229481,tvm
1,1,4,1,128,16,1,[1; 1; 4; 1; 128; 16; 1],0.013077892377623357,0.3054448777182223,tvm
8,1,32,1,1024,64,1,[8; 1; 32; 1; 1024; 64; 1],0.007431366750097368,0.5375290134944424,tvm
