i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
1,1,1,768,768,48,32,4,3,1,[1; 1; 1; 768; 768; 48; 32; 4; 3; 1],0.0878296794835478,0.0787477378045555,tvm
197,197,1,48,16,16,384,16,1,0,[197; 197; 1; 48; 16; 16; 384; 16; 1; 0],0.1079305789899081,0.06408182589361704,tvm
1,1,1,32,32,16,48,16,1,0,[1; 1; 1; 32; 32; 16; 48; 16; 1; 0],0.08641858102055266,0.08003358178009967,tvm
197,1,1,1536,256,64,384,8,4,0,[197; 1; 1; 1536; 256; 64; 384; 8; 4; 0],0.08575599698815495,0.08065195221721809,tvm
1,1,1,1536,1536,48,96,24,3,1,[1; 1; 1; 1536; 1536; 48; 96; 24; 3; 1],0.08779225399484858,0.07878130765197584,tvm
197,1,1,768,192,32,192,32,2,0,[197; 1; 1; 768; 192; 32; 192; 32; 2; 0],0.08562418952351436,0.08077610555985669,tvm
197,197,1,384,384,16,192,6,1,1,[197; 197; 1; 384; 384; 16; 192; 6; 1; 1],0.056801566446665674,0.12176404638281893,tvm
197,1,1,1024,128,64,96,6,4,0,[197; 1; 1; 1024; 128; 64; 96; 6; 4; 0],0.08576237998204306,0.08064594957458883,tvm
1,1,1,192,32,32,48,16,2,0,[1; 1; 1; 192; 32; 32; 48; 16; 2; 0],0.08552755549317226,0.08086737112439409,tvm
1,1,1,1024,512,64,3,1,4,0,[1; 1; 1; 1024; 512; 64; 3; 1; 4; 0],0.09037946799071506,0.07652610404986132,tvm
1,1,1,1536,1536,48,2,1,3,1,[1; 1; 1; 1536; 1536; 48; 2; 1; 3; 1],0.08721883600810543,0.07929925332626334,tvm
197,197,1,3072,192,16,768,1,1,1,[197; 197; 1; 3072; 192; 16; 768; 1; 1; 1],0.11337446898687631,0.0610048155747409,tvm
197,1,1,1536,768,32,48,4,2,1,[197; 1; 1; 1536; 768; 32; 48; 4; 2; 1],0.08564546896377578,0.08075603595975282,tvm
1,1,1,384,96,16,2,1,1,1,[1; 1; 1; 384; 96; 16; 2; 1; 1; 1],0.08497102645924315,0.08139702272216351,tvm
197,1,1,384,128,32,128,16,2,0,[197; 1; 1; 384; 128; 32; 128; 16; 2; 0],0.08562961651477963,0.08077098617199582,tvm
197,1,1,32,32,32,96,8,2,1,[197; 1; 1; 32; 32; 32; 96; 8; 2; 1],0.08499073248822242,0.0813781499340179,tvm
197,197,1,1536,256,128,48,2,8,0,[197; 197; 1; 1536; 256; 128; 48; 2; 8; 0],0.023426065876265056,0.2952432819048867,tvm
197,197,1,3072,768,64,96,4,4,0,[197; 197; 1; 3072; 768; 64; 96; 4; 4; 0],0.026280229998519644,0.2631783881578726,tvm
