kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
8,4,197,1,128,32,2,0,[8; 4; 197; 1; 128; 32; 2; 0],0.016434941993793473,0.42083437678334923,tvm
6,3,197,1,128,128,8,1,[6; 3; 197; 1; 128; 128; 8; 1],0.0152714808791643,0.4528957359246653,tvm
12,3,1,1,32,16,1,1,[12; 3; 1; 1; 32; 16; 1; 1],0.017222511742147617,0.40159000469731193,tvm
12,12,197,1,192,32,2,1,[12; 12; 197; 1; 192; 32; 2; 1],0.015474136380362324,0.4469644315792585,tvm
2,1,1,1,384,128,8,0,[2; 1; 1; 1; 384; 128; 8; 0],0.024728143253014423,0.27969704399805456,tvm
6,1,197,1,768,48,3,1,[6; 1; 197; 1; 768; 48; 3; 1],0.015200728885247372,0.4550037451257401,tvm
12,1,1,1,768,192,12,0,[12; 1; 1; 1; 768; 192; 12; 0],0.019822625123197213,0.34891385618420145,tvm
2,2,1,1,384,192,12,0,[2; 2; 1; 1; 384; 192; 12; 0],0.02483885412220843,0.2784503881459099,tvm
24,2,1,1,384,16,1,0,[24; 2; 1; 1; 384; 16; 1; 0],0.024704740761080757,0.27996199750958245,tvm
24,24,197,1,384,192,12,0,[24; 24; 197; 1; 384; 192; 12; 0],0.010080025560455397,0.6861479199578638,tvm
6,3,197,1,32,16,1,1,[6; 3; 197; 1; 32; 16; 1; 1],0.02550784224877134,0.271147535882292,tvm
48,16,1,1,256,128,8,1,[48; 16; 1; 1; 256; 128; 8; 1],0.02093155174225103,0.3304288500248938,tvm
12,2,1,1,384,96,6,0,[12; 2; 1; 1; 384; 96; 6; 0],0.012270731000171509,0.5636492700664614,tvm
6,6,1,1,768,192,12,1,[6; 6; 1; 1; 768; 192; 12; 1],0.013817689366987906,0.5005459587152568,tvm
3,1,197,1,32,16,1,0,[3; 1; 197; 1; 32; 16; 1; 0],0.03686526548699476,0.18761260715370456,tvm
12,2,1,1,96,96,6,1,[12; 2; 1; 1; 96; 96; 6; 1],0.014801582874497399,0.46727357675679826,tvm
