kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
1024,4,197,1,384,64,1,[1024; 4; 197; 1; 384; 64; 1],0.023128949615056626,0.29903599975530654,tvm
12,1,1,1,256,128,0,[12; 1; 1; 1; 256; 128; 0],0.012974542507436126,0.5330737918091961,tvm
768,24,1,1,128,16,1,[768; 24; 1; 1; 128; 16; 1],0.05427596851950511,0.1274300350613372,tvm
96,1,1,1,768,128,0,[96; 1; 1; 1; 768; 128; 0],0.02044720549019985,0.3382559330537139,tvm
1536,4,1,1,192,16,1,[1536; 4; 1; 1; 192; 16; 1],0.1119711110368371,0.06176940201257059,tvm
192,12,1,1,192,64,1,[192; 12; 1; 1; 192; 64; 1],0.020245134248398244,0.34163214165773104,tvm
96,6,1,1,256,64,0,[96; 6; 1; 1; 256; 64; 0],0.021040445499238558,0.3287187322948495,tvm
512,1,1,1,16,16,1,[512; 1; 1; 1; 16; 16; 1],0.05448547098785639,0.12694005293576488,tvm
1536,1,197,1,256,128,0,[1536; 1; 197; 1; 256; 128; 0],0.08729168545687571,0.07923307397753754,tvm
3072,2,197,1,64,64,1,[3072; 2; 197; 1; 64; 64; 1],0.0867934885318391,0.07968787392260862,tvm
96,6,197,1,768,16,0,[96; 6; 197; 1; 768; 16; 0],0.04416953126201406,0.15658732102907072,tvm
2,2,1,1,128,16,1,[2; 2; 1; 1; 128; 16; 1],0.025240238261176273,0.2740223170582006,tvm
384,64,1,1,128,16,0,[384; 64; 1; 1; 128; 16; 0],0.05259309150278568,0.13150754925791408,tvm
6,2,1,1,384,128,0,[6; 2; 1; 1; 384; 128; 0],0.014069389755604789,0.49159122688127294,tvm
16,8,197,1,192,16,1,[16; 8; 197; 1; 192; 16; 1],0.020733203506097198,0.3335899620815764,tvm
96,16,1,1,384,128,0,[96; 16; 1; 1; 384; 128; 0],0.020810148751479574,0.33235651767923213,tvm
128,2,197,1,768,128,1,[128; 2; 197; 1; 768; 128; 1],0.020171535012195818,0.3428786439528219,tvm
6,2,197,1,64,16,0,[6; 2; 197; 1; 64; 16; 0],0.027080675499746576,0.2553994109745636,tvm
192,16,197,1,64,64,0,[192; 16; 197; 1; 64; 64; 0],0.021175744754145853,0.3266184331049069,tvm
48,1,1,1,256,16,0,[48; 1; 1; 1; 256; 16; 0],0.04141897748922929,0.16698598059855843,tvm
768,64,197,1,64,64,0,[768; 64; 197; 1; 64; 64; 0],0.0206231422489509,0.33537025967904616,tvm
256,16,1,1,768,64,1,[256; 16; 1; 1; 768; 64; 1],0.019744932127650827,0.3502867736750967,tvm
96,16,1,1,32,16,1,[96; 16; 1; 1; 32; 16; 1],0.04283605399541557,0.16146185108854288,tvm
24,1,197,1,768,16,0,[24; 1; 197; 1; 768; 16; 0],0.02347864401235711,0.2945821133362041,tvm
12,6,1,1,256,128,1,[12; 6; 1; 1; 256; 128; 1],0.012519423995399848,0.5524526187442759,tvm
192,64,197,1,96,96,0,[192; 64; 197; 1; 96; 96; 0],0.0218349231290631,0.3167580911802066,tvm
1536,12,1,1,384,128,1,[1536; 12; 1; 1; 384; 128; 1],0.09030957450158894,0.07658533006715564,tvm
64,8,1,1,128,64,0,[64; 8; 1; 1; 128; 64; 0],0.021547527256188914,0.3209829364268253,tvm
256,16,1,1,256,64,0,[256; 16; 1; 1; 256; 64; 0],0.02003829274326563,0.3451585751362474,tvm
